0,SnodeCoin
1,Travelflex
2,Cashbery Coin
3,APR Coin
4,The ChampCoin
5,SkyHub Coin
6,Akroma
7,Monoeci
8,Bitcoin Zero
9,Rupee
10,Photon
11,Penguin Coin
12,MNPCoin
13,WomenCoin
14,Graviocoin
15,CoinToGo
16,HunterCoin
17,EquiTrader
18,ATBCoin
19,GenesisX
20,Xchange
21,Dinastycoin
22,CryptoCarbon
23,Nullex
24,Bitzeny
25,EverGreenCoin
26,Ether-1
27,Hush
28,KekCoin
29,Mao Zedong
30,X-Cash
31,Octoin Coin
32,EtherGem
33,CryptoFlow
34,GCN Coin
35,BitWhite
36,Auxilium
37,STRAKS
38,Advanced Inte...
39,Gold Poker
40,Webchain
41,XDNA
42,PeepCoin
43,Zetacoin
44,PutinCoin
45,Castle
46,Pigeoncoin
47,CampusCoin
48,Beetle Coin
49,Aegeus
50,Teloscoin
51,BLOC.MONEY
52,Absolute
53,CREA
54,DraftCoin
55,Actinium
56,Quantis Network
57,Newton Coin P...
58,AllSafe
59,PAWS Fund
60,OP Coin
61,BitMoney
62,Blocknode
63,HUZU
64,Advanced Tech...
65,Condominium
66,Rupaya
67,Elementrem
68,Project Coin
69,Arepacoin
70,GlobalToken
71,Lobstex
72,Obsidian
73,XGOX
74,QYNO
75,ProCurrency
76,Emerald Crypto
77,Unify
78,Citadel
79,Onix
80,MMOCoin
81,Vivid Coin
82,SCRIV NETWORK
83,Bitblocks
84,WhaleCoin
85,BitcoiNote
86,BLAST
87,Plancoin
88,Phonecoin
89,Arion
90,TOKYO
91,Carebit
92,PrimeStone
93,Megacoin
94,Steneum Coin
95,RPICoin
96,Titcoin
97,BZLCOIN
98,AceD
99,Dinero
