34,35,Factom,35,Primecoin,35,ArtByte,35,BitWhite,35,LiteDoge,35,PyrexCoin,35,IQ.cash,35,Concoin,35.0,SONO
35,36,Bytom,36,CrypticCoin,36,Ethersocial,36,Auxilium,36,Bullion,36,Bitstar,36,RonPaulCoin,36,DACH Coin,36.0,Bastonet
36,37,Steem,37,Bitcoin Green,37,SHIELD,37,STRAKS,37,Woodcoin,37,Litecoin Plus,37,Master Swiscoin,37,PlayerCoin,37.0,Animecoin
37,38,Komodo,38,Happycoin,38,AirWire,38,Advanced Inte...,38,BuzzCoin,38,BTCtalkcoin,38,Zealium,38,Luna Coin,38.0,HondaisCoin
38,39, Electroneum,39,Feathercoin,39,ExclusiveCoin,39,Gold Poker,39,Pesetacoin,39,Triangles,39,8Bit,39,AnarchistsPrime,39.0,RabbitCoin
39,40,Cryptonex,40,Myriad,40,LRM Coin,40,Webchain,40,InterCrone,40,Cryptojacks,40,Coin2.1,40,Bitvolt,40.0,Arbitracoin
40,41,Bitcoin Private,41,Flash,41,BitcoinZ,41,XDNA,41,Ixcoin,41,Iridium,41,Bank Coin,41,Coupecoin,41.0,Adenz
41,42,Ardor,42,HTMLCOIN,42,PinkCoin,42,PeepCoin,42,SmileyCoin,42,Digiwage,42,ParkByte,42,PAXEX,42.0,Bubble
42,43,Aion,43,Shift,43,Social Send,43,Zetacoin,43, WorldCoin,43,iTicoin,43,SpeedCash,43,GeertCoin,43.0,BlazerCoin
43,44,MonaCoin,44,Bitcoin Atom,44,Syndicate,44,PutinCoin,44,Blockpool,44,UltraCoin,44,Kurrent,44,PonziCoin,44.0,CottonCoin
44,45,Elastos,45,Callisto Network,45,GoldCoin,45,Castle,45,Shard,45,Shekel,45,Safe Trade Coin,45,Project-X,45.0,First Bitcoin
45,46,Ark,46,Bismuth,46,Kore,46,Pigeoncoin,46,Gravity,46,Pascal Lite,46,HomeBlockCoin,46,Coimatic 2.0,46.0,BetaCoin
46,47,ReddCoin,47,BlackCoin,47,GravityCoin,47,CampusCoin,47,Universe,47,PRiVCY,47,RedCoin,47,Bitspace,47.0,Sakuracoin
47,48,Wanchain,48,Global Curren...,48,2GIVE,48,Beetle Coin,48,Carboncoin,48,LanaCoin,48,PluraCoin,48,VapersCoin,48.0,CoffeeCoin
48,49,HyperCash,49,MassGrid,49,Sprouts,49,Aegeus,49,UltraNote Coin,49,EagleX,49,Harvest Maste...,49,Dollar Online,49.0,Labh Coin
49,50,Ravencoin,50,ALQO,50,Capricoin,50,Teloscoin,50,SuperCoin,50,SpreadCoin,50,BERNcash,50,Save and Gain,50.0,Cropcoin
50,51,PIVX,51,Peerplays,51,Bitcoin Plus,51,BLOC.MONEY,51,I0Coin,51,KZ Cash,51,Azart,51,CrevaCoin,51.0,Axiom
51,52,Metaverse ETP,52,BitTube,52,StrongHands,52,Absolute,52,HyperStake,52,VIVO,52,FolmCoin,52,Ourcoin,52.0,DynamicCoin
52,53,GXChain,53,Polis,53,WeAreSatoshi,53,CREA,53,Argentum,53,dietbitcoin,53,Dreamcoin,53,Argus,53.0,Crypto Improv...
53,54,Zcoin,54,Phore,54,Forkcoin,54,DraftCoin,54,PWR Coin,54,Regalcoin,54,BumbaCoin,54,Magnum,54.0,Tellurion
54,55,MOAC,55,Dimecoin,55,Zero,55,Actinium,55,Trollcoin,55,GoldBlocks,55,Honey,55,HarmonyCoin,55.0,Delizia
55,56,Nxt,56,ColossusXT,56,AC3,56,Quantis Network,56,Zennies,56,Ratecoin,56,Theresa May Coin,56,YENTEN,56.0,Aces
56,57,Horizen,57,Bulwark,57,CROAT,57,Newton Coin P...,57,Monkey Project,57,OPCoinX,57,ACRE,57,Infinity Econ...,57.0,Bitbase
57,58,Nebulas,58,MktCoin,58,Internet of P...,58,AllSafe,58,BunnyCoin,58,Bata,58,NevaCoin,58,CK USD,58.0,MIRQ
58,59,BOScoin,59,RevolutionVR,59,Breakout Stake,59,PAWS Fund,59,Cryptonite,59,Version,59,Qbic,59,ABBC Coin,59.0,PROUD Money
