price_9,epst1,bpst1,capaxt1,cfot1,ebitt1,salest1,fcft1,nit1,price_12
16750,159,19216,24,-171,62,4051,-195,26,15425
12700,161,12915,15,-56,11,1278,-71,34,10570
67900,1280,31848,134,278,234,4050,144,144,67500
277250,8526,233061,220,826,349,5546,606,287,328750
9320,148,4183,232,121,147,2694,-111,98,10380
81200,2981,89548,509,2059,1274,26395,1550,1108,69900
192750,393,86223,68,417,137,2754,349,70,217000
1211,17,1147,11,-166,22,1324,-178,15,1098
27900,-959,46206,28,-1210,590,27009,-1238,-674,27675
206750,1149,157802,3410,512,-673,13048,-2899,817,206000
1405,3,402,1,-3,1,117,-4,3,1978
5280,-113,7432,9,27,12,445,18,-17,5365
1925,-2,3923,22,-14,-3,547,-36,-2,1640
260750,11803,216504,394,941,1078,4346,547,769,255000
12300,504,25015,9,-22,27,233,-32,41,11425
66900,1779,48941,863,287,667,8207,-576,434,67350
4680,139,8201,3,6,5,122,4,16,4725
2900,-29,2025,18,31,-11,123,12,-13,2660
5557,-41,1683,8,-21,-5,245,-28,-4,6130
2920,-37,6350,31,1,-23,621,-30,-12,3040
35900,297,25015,809,950,261,18458,141,235,40675
620,-10,633,0,-2,-8,15,-2,-8,580
69900,1816,69516,22,-134,121,1750,-156,117,68450
3245,30,3841,37,-100,63,971,-137,27,3770
740500,9419,305360,20,604,300,5318,584,328,799500
3548,-21,4556,23,18,-11,304,-5,-2,3465
35525,1142,61708,52,94,58,674,42,48,35075
34500,84,10697,16,27,59,599,11,34,36250
6950,814,11586,4,-244,137,670,-248,111,7035
3077,3,4618,54,104,2,260,51,0,3150
4993,-35,4754,39,10,3,1438,-29,-18,4248
52650,960,74156,36,47,60,2435,11,57,65150
39000,776,15144,31,223,147,1125,192,120,43850
2642,21,982,0,64,4,465,64,21,3210
13650,392,25268,0,-22,23,318,-23,14,12050
17850,-13,12539,81,-44,45,1485,-125,11,14950
15275,-135,2733,7,-47,-44,62,-54,-22,15175
7655,266,24385,576,-93,355,7999,-670,144,7645
3585,143,2769,17,-133,8,1843,-150,63,3818
1638,38,871,12,222,30,912,211,24,1453
8160,310,16392,33,73,34,639,40,31,9300
4005,65,6264,43,14,-5,178,-28,8,4040
34375,487,22093,99,79,100,900,-20,61,32475
26775,-649,46426,2,-4,-4,143,-6,-8,25100
1855,67,2764,10,181,42,891,171,39,1740
2575,-24,907,6,127,4,363,120,-19,2235
56700,68,17156,91,665,100,10211,574,27,84500
731,-186,1826,13,15,-8,48,1,-13,416
90650,105,10420,0,-309,38,1578,-309,65,110250
1320,-15,926,1,-3,-2,422,-4,-13,987
2718,10,5874,25,16,24,950,-9,2,2558
20500,-493,41800,0,-11,-2,55,-11,-8,20775
104650,28,55156,4337,-21,255,15705,-4358,44,99600
4590,51,9064,4,40,49,581,36,15,4100
2328,86,2733,9,27,16,966,17,14,2125
2513,207,9390,20,332,93,2382,312,121,2513
158500,1306,27098,73,117,390,5131,44,307,178250
1813,-40,3151,32,60,11,1531,28,-28,1948
8345,120,9287,48,46,97,2643,-1,64,8765
2750,65,949,2,137,90,755,135,41,2773
2022,17,756,1,21,10,147,20,8,2555
8825,467,12289,133,-1215,377,5795,-1348,339,8835
12275,-8,2039,3,22,-9,191,20,-4,18800
5720,121,7087,20,-55,29,931,-75,45,5210
33675,461,18833,39,15,119,1388,-24,61,50350
10535,423,3411,1,21,25,516,20,33,14700
2558,-125,1845,0,7,22,619,7,-52,2278
141750,4668,126808,1810,3072,1635,48078,1261,4623,124950
4325,158,8569,11,53,44,1452,41,98,4575
16500,-1275,8236,39,25,-28,1014,-14,-39,12080
10025,76,17337,4,66,25,555,62,25,9295
1321,9,645,0,-35,6,150,-35,4,1128
44175,1484,70885,2,53,32,368,52,37,42850
10400,101,3458,8,-9,24,323,-17,18,10145
