price_9,eps_gap,bps_gap,capax_gap,cfo_gap,ebit_gap,sales_gap,fcf_gap,ni_gap,binary
3245,9,50,-18,143,-1,14,161,6,1
740500,958,11228,317,-260,115,-184,-576,29,1
3548,1,0,-8,-44,7,-5,-36,0,0
35525,821,2365,-22,-22,-34,-5,1,16,0
34500,33,106,-7,50,-4,9,57,4,1
6950,-706,127,2,109,-121,-349,107,-96,1
3077,62,327,-55,-179,7,31,-125,12,1
4993,62,35,122,194,25,-16,72,27,0
52650,988,2305,160,35,96,166,-125,57,1
39000,-56,720,-7,-40,-1,-98,-33,-9,1
2642,148,163,2,17,13,105,15,149,1
13650,-93,326,1,10,-11,17,10,-3,0
17850,109,180,85,248,-6,1,162,37,0
15275,24,1048,-6,-15,33,69,-9,2,0
7655,-603,124,-70,628,-337,-843,698,-322,0
3585,-214,-39,3,-300,11,97,-303,-95,1
1638,-25,19,-8,-135,41,49,-128,-18,0
8160,-252,241,-12,-40,6,93,-28,-26,1
4005,-47,-136,-42,-4,11,-3,37,-6,1
34375,279,460,64,67,7,16,3,39,0
26775,-509,-669,-1,17,-12,-40,18,-6,0
1855,-84,17,4,-207,-34,-221,-211,-48,0
2575,35,2,-4,-129,3,-12,-124,27,0
56700,6,92,124,-1061,73,-1214,-1185,3,1
731,27,1103,-1,-25,-6,-10,-24,2,0
90650,40,180,12,252,18,53,239,30,1
1320,2,-1,1,-8,-2,-84,-9,2,0
2718,36,56,2,45,11,-46,44,12,0
20500,371,451,1,8,2,-1,7,6,1
104650,402,1945,-569,1787,452,1394,2356,335,0
4590,-23,229,-1,-67,-14,127,-65,-7,0
2328,-3,88,-3,-7,-1,-91,-4,0,0
2513,-134,53,66,109,101,162,43,-71,1
158500,-468,-465,1773,0,-119,-98,-1773,-110,1
1813,-46,-78,-7,-151,-62,-33,-144,-27,1
8345,-47,115,-21,134,-41,379,154,-26,1
2750,34,91,2,-233,-38,-99,-235,23,1
2022,-2,17,5,16,2,8,11,-1,1
8825,174,1057,17,4282,538,2248,4265,299,1
12275,18,10,3,-1,12,15,-5,9,1
5720,-41,279,14,171,30,-51,157,-31,0
33675,-68,475,51,-385,-55,-91,-436,-9,1
10535,-82,632,3,9,5,30,5,-5,1
2558,172,30,2,45,13,-2,43,72,0
141750,36880,65487,-1431,4690,-117,-1786,6122,21527,0
4325,-123,41,57,324,33,44,268,-76,1
16500,1186,-49,18,-52,36,-67,-70,37,0
