price_9,eps_gap,bps_gap,capax_gap,cfo_gap,ebit_gap,sales_gap,fcf_gap,ni_gap,price_12
175600,-1209,2668,-62,-32,-16,-40,30,-27,193150
40150,-44,16,32,-292,-41,90,-324,-19,44425
24600,-137,915,10,-194,9,112,-204,2,25400
41375,426,1201,41,45,115,364,4,110,62000
54400,-1460,1653,200,7065,12,1184,6865,-2027,59600
978,-22,-14,-2,-122,-61,-152,-120,-45,961
10425,174,224,-3,-1,8,11,2,17,10800
110000,4407,7442,0,8,13,156,7,29,99000
2210,96,77,42,57,-6,-25,14,38,1800
19550,165,490,6,77,-6,114,70,37,25350
1783,467,406,13,138,-13,-20,124,185,1540
6055,41,301,-44,115,-62,211,159,-15,4545
187250,2330,5782,-1625,-1189,-363,-400,436,132,287500
6170,-47,160,-1,96,-13,-4,97,-19,5440
2208,5,0,0,-16,-3,-19,-16,2,2170
14175,29,446,-22,73,-15,13,93,6,12450
340250,-2265,4757,447,204,-143,-191,-243,-140,357000
18875,170,565,-11,291,55,117,300,40,26400
36375,111,1141,29,-46,-1,-129,-76,15,35825
4251,-133,12,57,-374,-23,-61,-431,-48,4213
12400,-892,-164,2,114,-160,-118,113,-136,11425
40450,159,577,0,-46,0,-6,-46,5,36175
17675,457,-320,-78,174,4,45,251,68,17500
103150,-10544,980,39,-2756,-582,-5304,-2795,-516,117250
37600,342,2634,12,-18,14,27,-30,23,40175
17275,39,314,19,402,8,173,383,1,17225
6810,41,140,2,23,7,-2,21,6,11210
150250,-973,3366,-146,-1555,-126,2372,-1409,-313,136250
3833,-51,-11,12,25,-20,-31,13,-8,3805
8190,-100,339,-23,16,-130,-12,40,-66,7915
3370,-124,42,-8,-121,-104,-109,-113,-100,3603
65200,-344,2939,1,16,-10,31,15,-9,66050
10725,49,279,23,184,-2,62,161,6,10525
745,-59,-70,21,14,-17,-14,-7,-27,689
16725,-125,1017,2,-1959,45,508,-1960,-11,20400
14800,1465,826,5,-107,77,140,-112,234,15975
6060,381,498,-36,290,194,363,325,96,5625
15275,307,208,12,153,-22,456,141,21,15800
48450,-2584,-417,-85,28,-19,142,113,-124,43850
1520,-19,19,44,-110,11,15,-154,4,1735
4083,11,136,-10,302,-55,-40,312,10,4078
59150,-167,186,30,354,84,711,324,-17,64100
16075,294,796,-2,-40,-7,-34,-38,27,16800
36400,227,600,321,-225,233,630,-546,210,37700
19200,54,333,30,200,20,3,170,31,21075
1449500,-27936,41322,-125,629,-37,957,754,-380,1271500
3713,147,127,-1,-32,7,216,-32,17,3203
3133,-130,13,29,-38,-32,-65,-68,-25,2968
15525,1185,1400,47,176,15,181,129,153,21525
48125,2109,3586,3,263,55,105,260,67,54800
15975,-75,595,-3,-170,68,38,-167,-42,15000
326750,-3878,9316,-83,13,-3859,-1328,96,-4469,335500
137250,215,787,-42,47,23,189,90,19,151500
4668,69,144,-3,-28,3,29,-25,5,4993
13750,152,356,2,22,20,39,20,30,13000
7520,-308,120,-61,-183,104,-323,-123,-62,8330
17750,-11432,383,50,199,-12,-343,149,-1583,14775
6850,-22,107,4,19,-3,83,15,-4,6860
161750,2672,4330,2,59,12,12,58,24,151750
56650,-195,3746,-16,122,-2,29,138,-16,52200
18400,179,1203,-167,-146,-55,-93,20,61,23150
2018,130,-1,1,62,-40,20,61,48,2005
35550,28,1358,3621,94,-25,916,-3528,-84,23750
2491500,482,1718,33409,18289,41681,104530,-15120,33695,2507500
16750,385,613,43,184,91,72,141,63,15425
12700,3682,1002,-28,406,154,494,433,775,10570
67900,-1121,-32979,-14,-241,-294,-3128,-226,-137,67500
277250,-576,10054,256,-307,122,326,-563,-25,328750
9320,24,188,345,239,60,160,-106,25,10380
81200,-1348,1800,62,-1787,-99,129,-1849,-397,69900
192750,1765,2726,11,-414,208,548,-425,199,217000
1211,87,107,-10,165,-1,-31,176,62,1098
27900,1080,433,108,1539,270,2935,1431,777,27675
206750,1594,5622,-658,-1117,728,1495,-458,1049,206000
1405,-28,1,0,8,-11,-13,8,-25,1978
5280,146,20,1,-43,-1,44,-43,22,5365
1925,-41,-54,-7,-19,-5,31,-11,-14,1640
260750,-12576,-1184,1352,-968,-1194,-2108,-2320,-818,255000
12300,-105,447,17,116,-19,10,100,-10,11425
66900,-182,1614,-491,405,-126,-252,897,-45,67350
4680,-92,270,3,33,1,1,29,-11,4725
2900,13,-18,15,-1,5,73,-15,6,2660
5557,169,114,-5,49,22,87,53,20,6130
2920,8,-37,10,1,13,36,-10,3,3040
35900,248,528,303,31,270,2426,-272,177,40675
620,6,-7,0,4,3,3,4,5,580
69900,244,1984,65,336,25,210,270,6,68450
3245,9,50,-18,143,-1,14,161,6,3770
740500,958,11228,317,-260,115,-184,-576,29,799500
3548,1,0,-8,-44,7,-5,-36,0,3465
35525,821,2365,-22,-22,-34,-5,1,16,35075
34500,33,106,-7,50,-4,9,57,4,36250
6950,-706,127,2,109,-121,-349,107,-96,7035
3077,62,327,-55,-179,7,31,-125,12,3150
4993,62,35,122,194,25,-16,72,27,4248
52650,988,2305,160,35,96,166,-125,57,65150
39000,-56,720,-7,-40,-1,-98,-33,-9,43850
2642,148,163,2,17,13,105,15,149,3210
13650,-93,326,1,10,-11,17,10,-3,12050
17850,109,180,85,248,-6,1,162,37,14950
15275,24,1048,-6,-15,33,69,-9,2,15175
7655,-603,124,-70,628,-337,-843,698,-322,7645
3585,-214,-39,3,-300,11,97,-303,-95,3818
1638,-25,19,-8,-135,41,49,-128,-18,1453
8160,-252,241,-12,-40,6,93,-28,-26,9300
4005,-47,-136,-42,-4,11,-3,37,-6,4040
34375,279,460,64,67,7,16,3,39,32475
26775,-509,-669,-1,17,-12,-40,18,-6,25100
1855,-84,17,4,-207,-34,-221,-211,-48,1740
2575,35,2,-4,-129,3,-12,-124,27,2235
56700,6,92,124,-1061,73,-1214,-1185,3,84500
731,27,1103,-1,-25,-6,-10,-24,2,416
90650,40,180,12,252,18,53,239,30,110250
1320,2,-1,1,-8,-2,-84,-9,2,987
2718,36,56,2,45,11,-46,44,12,2558
20500,371,451,1,8,2,-1,7,6,20775
104650,402,1945,-569,1787,452,1394,2356,335,99600
4590,-23,229,-1,-67,-14,127,-65,-7,4100
2328,-3,88,-3,-7,-1,-91,-4,0,2125
2513,-134,53,66,109,101,162,43,-71,2513
158500,-468,-465,1773,0,-119,-98,-1773,-110,178250
1813,-46,-78,-7,-151,-62,-33,-144,-27,1948
8345,-47,115,-21,134,-41,379,154,-26,8765
2750,34,91,2,-233,-38,-99,-235,23,2773
2022,-2,17,5,16,2,8,11,-1,2555
8825,174,1057,17,4282,538,2248,4265,299,8835
12275,18,10,3,-1,12,15,-5,9,18800
5720,-41,279,14,171,30,-51,157,-31,5210
33675,-68,475,51,-385,-55,-91,-436,-9,50350
10535,-82,632,3,9,5,30,5,-5,14700
2558,172,30,2,45,13,-2,43,72,2278
141750,36880,65487,-1431,4690,-117,-1786,6122,21527,124950
4325,-123,41,57,324,33,44,268,-76,4575
16500,1186,-49,18,-52,36,-67,-70,37,12080
10025,80,264,9,-24,26,17,-32,27,9295
1321,137,160,0,52,-6,-17,52,51,1128
44175,160,1794,2,-72,-2,-7,-75,4,42850
10400,25,121,-2,35,2,24,38,4,10145
35150,-511,1900,-106,-2725,222,2942,-2619,-748,30250
51300,855,4593,81,454,247,1166,374,201,56150
105100,2346,4572,185,-4037,-380,-4390,-4222,543,127750
11125,19,35,-19,26,-5,-259,45,7,9980
56350,451,1224,-24,-453,78,289,-429,138,62500
502750,75,11408,132,1854,120,979,1722,8,478500
