price_9,eps_gap,bps_gap,capax_gap,cfo_gap,ebit_gap,sales_gap,fcf_gap,ni_gap,price_12
7645,-109,-129,-18,12,-8,28,31,-15,8535
1198,12,38,1,17,4,12,16,9,1713
1167,-11,-18,0,-13,-9,0,-13,-4,5175
2585,9,28,0,3,-4,-5,3,2,4028
41775,969,1574,-3,113,47,152,117,58,41825
7310,85,241,1,96,0,12,95,26,6560
1338,149,-69,-1,-15,4,7,-14,24,2013
3772,-8,30,-557,-17,54,289,540,-6,5385
43525,-8185,-2273,142,5912,-8609,-36924,5770,-7588,43050
178550,-983,-9453,-130,-616,-71,-75,-486,-104,181500
15100,646,750,16,-213,-80,-2,-229,337,16025
2510,2,27,31,-58,-25,-68,-88,1,2465
437250,599,17586,48,-1021,72,191,-1069,134,458500
11775,-37,438,3,-144,97,367,-147,-13,12100
581,7,8,7,49,7,21,43,24,598
4408,5,130,0,6,0,4,7,1,4373
6550,-132,46,0,-48,-27,-53,-48,-19,7025
2835,69,86,21,-70,34,78,-91,48,2425
23775,350,960,-20,-653,24,71,-634,35,22725
4445,65,195,4,233,10,100,229,11,6215
64900,1156,2,-137,-413,53,-34,-277,194,66300
9600,105,265,21,76,0,45,54,24,10255
14925,-10,279,-72,-182,4,3,-111,-5,13250
1837,23,33,4,24,7,76,20,18,1995
2115,-107,-226,-62,-131,-39,-374,-69,-47,1820
7205,-509,-506,9,-8,-105,-415,-17,-83,6530
9975,-77,4,0,-6,-4,21,-6,-6,11550
1735,481,52,76,187,45,1256,111,444,1685
4766,57,91,-6,235,-6,38,241,8,4593
7760,-477,542,-1,-349,58,247,-350,-153,8440
1740,5,45,2,17,-5,19,16,3,1600
2230,27,40,-4,48,3,7,52,23,2283
4270,182,235,-18,81,18,71,99,16,3835
3608,64,-101,-79,-316,-11,-93,-236,32,4093
11925,-53,108,-18,76,-1,-8,93,-2,12400
2248,-459,-57,-69,-419,-125,-338,-350,-110,2120
24150,-696,-423,-5,-76,2,-21,-71,-75,36675
16100,31,364,-968,-1191,7,4,-223,3,16200
4840,49,16,0,-29,2,-14,-29,7,4865
3353,-287,16,-23,-179,-137,-214,-156,-308,3173
9480,250,630,-1,254,131,495,254,117,11475
1470,-20,10,1,11,-1,9,11,-7,1473
5117,-106,-101,5,-359,-35,-637,-364,-20,5415
10430,1075,27,-2,10,40,32,12,123,9705
3490,39,5,-1,6,13,6,7,18,3978
5726,-404,-244,-1,8,-27,-45,7,-46,5118
3125,-164,-140,8,-203,-55,-134,-212,-24,3333
76400,645,1205,127,216,16,-35,89,80,97000
85650,-696,-188,-116,24,-55,-87,141,-86,103400
7650,-31,82,0,0,-3,-4,1,-10,13795
1165,463,13,40,-51,87,120,-91,181,1273
9110,83,87,4,-8,8,-44,-14,7,9110
3115,128,49,-1,178,13,336,179,25,3193
3657,-14,155,2,7,3,7,5,-3,3770
18675,254,609,-28,14,16,54,42,38,25275
5965,1011,-335,-17,35,4,235,52,274,6740
4541,1051,-137,2,19,38,-98,17,84,4258
9180,-204,175,-64,-28,-20,-48,36,-21,10975
31675,260,250,25,-10,-2,28,-36,30,33675
4600,52,11,2,11,3,7,8,12,5740
2693,115,53,2,14,24,79,13,44,2450
10390,-792,-431,-9,-125,-81,-167,-116,-96,10220
2290,285,128,-42,-77,102,79,-35,120,2085
2640,19,-15,0,-14,-5,-5,-15,19,2903
7540,-14,157,6,-17,0,-13,-22,-3,7800
3155,-116,-107,27,-73,-53,-273,-100,15,3055
13325,338,418,64,8,86,467,-56,56,13825
1493,47,-66,1,8,-1,8,7,3,1488
14625,-61,-50,-3,-1,4,27,2,-21,13825
11325,266,80,0,-56,17,128,-56,48,9620
7150,-7,-7,0,0,1,-5,0,-1,6580
29725,506,275,28,48,2,-4,20,118,36475
7915,-1312,-1323,-1,-176,-43,-130,-175,-160,7675
4057,404,82,13,22,7,370,9,109,4615
7470,114,419,48,85,-16,14,38,29,7580
30800,181,388,6,5,13,25,0,25,37525
10560,-340,-100,2,-12,-2,-17,-14,-39,12100
13625,-259,83,-9,-26,-7,-12,-17,-23,9910
35250,2,11,2,26,-5,13,23,0,37575
1788,-23,-12,-2,11,-13,-2,13,-13,1813
1813,-2,37,-5,-95,-8,19,-90,-1,1753
13875,25,617,20,59,31,91,38,17,13100
3655,106,96,0,154,13,160,153,16,3830
2828,10,17,0,4,3,1,3,3,3088
7335,30,91,-9,11,-9,1,20,1,7475
8375,41,906,55,-2315,663,2118,-2370,93,9020
659,1,-15,-19,5,5,17,24,1,680
29425,-3276,854,12,126,40,127,115,-474,32450
4050,-99,-195,-12,12,8,-23,23,-21,4088
1370,445,58,47,-18,73,20,-66,168,1355
1093,22,-82,-5,42,-8,2,45,7,1006
17425,-754,161,1,212,-121,-221,211,-51,13300
10195,-2983,269,212,-205,-69,-344,-417,-626,10430
4122,-13,43,8,-14,-4,-21,-23,-1,5025
5880,48,-115,-3,14,16,-3,17,9,5850
3725,170,-16,0,1,10,-9,1,36,4015
2000,-40,317,-2,7,-4,17,8,-11,1755
3887,-143,-78,-4,-29,-9,-25,-26,-13,5335
186,-13,-11,17,125,-34,-72,107,-37,171
11075,296,514,3,93,39,259,91,49,12325
821,-44,-46,6,-97,-26,5,-103,-27,721
9465,278,590,-29,-48,53,45,-19,64,8960
6030,-65,-42,-2,1,-6,-2,2,-6,6865
1833,96,47,0,5,14,36,5,18,1633
26425,369,458,-16,175,1,59,190,38,35550
4933,-41,64,1,30,-4,-12,29,-4,5048
13000,883,190,37,-418,133,-121,-455,159,13825
3627,-37,135,-1,-17,4,16,-17,-3,4300
1861,25,57,-1,31,21,46,32,18,1753
2521,-17,12,0,-11,-5,-18,-10,-6,2208
10470,-17,195,2,-15,-1,-16,-17,-1,12375
1790,-21,8,-3,-27,-12,1,-24,-5,1890
5340,178,-236,8,-237,49,52,-245,32,5520
3221,14,263,-2,-291,18,128,-288,8,2958
6180,64,260,-21,6,8,82,27,7,7455
7780,32,87,-1,78,-7,-67,78,7,8995
5347,135,217,2,-27,5,41,-29,20,5650
1305,-4,12,-2,-44,-15,-53,-43,-2,1400
6800,268,202,0,315,30,-33,315,63,8115
23775,250,350,-118,-338,7,108,-221,180,29200
4003,-320,70,0,-112,-16,-114,-111,-47,3950
2603,45,12,8,16,-2,-14,8,9,2773
7125,-146,346,-38,-4030,247,4740,-3992,-613,5685
20375,-613,300,18,506,-134,8963,489,-730,18200
3855,32,-60,1,-30,22,17,-30,8,4123
5755,291,259,13,-1,68,213,-14,94,5710
2778,107,45,-1,40,20,6,41,45,2590
2507,-3,25,2,-14,-2,-19,-16,-1,3185
45025,-536,-420,143,3255,-1360,-1667,3112,-523,48250
1270,-107,91,-51,-22,-33,-222,29,-53,1563
68250,559,413,-130,29,17,75,158,82,58050
5295,39,145,-5,-19,9,7,-14,12,5850
8140,-409,-195,32,54,-32,-48,21,-47,8270
31450,8,12,2,-2,0,-8,-4,1,39700
2888,8,-2,0,50,-15,-35,50,6,2808
5615,292,515,15,13,14,-54,-4,38,6085
2228,-73,10,20,-52,2,25,-72,-10,2108
2200,22,16,-18,-9,10,59,9,40,2253
8300,285,297,-5,61,35,-36,65,43,9360
11050,198,302,-543,137,-19,-68,680,22,10625
5631,167,131,-3,-20,50,27,-16,61,2893
2795,61,37,-22,21,-1,3,43,12,3360
7825,439,-20,-6,-12,101,22,-6,84,9270
9980,-90,-43,1,-7,22,17,-8,-8,9430
984,-17,12,-5,-129,-52,-279,-124,-26,966
3558,-22,-32,-1,-7,-2,104,-6,-7,3520
7950,207,428,-12,294,8,30,305,48,6955
4698,67,-293,-2,2,-15,-5,4,8,3633
2121,-234,-16,30,-192,-86,-111,-222,-91,1728
2993,-41,-139,1,-27,-10,-17,-28,-5,3158
190000,-5490,670,-186,-42,-214,-439,143,-211,224000
10600,840,583,21,185,55,224,163,84,8085
69950,264,595,-3,24,75,249,26,21,83650
37475,368,924,40,14,18,27,-26,34,38675
2570,104,-99,59,-229,-250,-67,-288,54,2573
882,0,4,0,36,12,75,38,0,999
2718,-137,-90,-7,-163,3,-23,-157,-23,1950
2435,472,-597,4,-135,-653,74,-138,90,3935
2230,39,-25,0,22,10,37,23,8,2255
51450,1053,-812,-21,-7,216,-42,12,157,51800
4625,116,-1,-12,-30,7,113,-18,16,4640
37975,531,367,-10,313,95,398,322,64,38475
42850,426,835,182,130,229,692,-52,191,39750
975,55,-80,-48,15,115,3,63,69,1150
902000,-707,10476,-22,-2094,-275,-706,-2072,-123,1194000
386750,578,8211,1913,7317,-700,-1046,5404,422,405000
1137,97,68,0,6,11,0,5,20,936
5910,-16,18,-4,13,-5,-4,16,-5,5870
3955,-151,-170,4,-8,-74,18,-12,-12,4115
3185,1,1,-1,63,0,-3,63,-1,3453
15675,-47,181,-12,50,-20,-58,63,-7,19700
604,20,40,-13,9,5,-11,22,26,584
10480,-598,-465,-1,-65,30,-41,-64,-95,12400
38400,351,328,9,-17,31,127,-27,34,46600
15000,292,28,0,-23,13,8,-22,33,16450
5495,-81,-48,1,68,-29,-139,66,-10,5620
1135,-43,-4,-14,-69,-1,-12,-54,-19,1110
8285,10,23,-5,83,-2,6,87,2,10410
1121,-98,42,30,-29,-5,-27,-59,-15,1063
1440,189,36,1,1,-6,12,0,63,1990
7150,40,80,-3,4,0,6,7,2,8465
15000,-48,335,15,-452,-60,56,-467,-25,13350
3703,-126,-65,2,-49,1,87,-51,-24,3798
2067,-61,-81,-42,-96,22,25,-55,-12,2100
5860,154,4,1,-83,34,168,-84,26,5660
5790,-161,70,-1,-6,-24,-46,-6,-18,4555
5502,24,26,0,11,11,-1,10,8,5870
6340,19,74,-1,78,11,-20,78,7,6850
14300,138,334,90,262,2,34,171,15,13625
17300,-9,549,-5,-177,-4,21,-172,2,19125
10450,-69,-5,-6,-80,5,50,-73,-6,11600
10725,-142,172,2,9,-2,26,8,-13,9340
6030,214,660,126,-66,-62,10,-191,28,5930
47875,169,411,0,108,19,29,107,17,53650
8200,115,110,3,21,-3,11,18,20,6685
5047,-204,-201,82,42,-36,-138,-41,-33,5525
15725,1471,52,-13,-195,47,15,-183,211,16150
3000,-333,-208,-65,-124,-15,-40,-59,-76,2390
4676,-440,-369,4,78,-48,153,76,-91,4523
2968,-234,-232,1,41,3,-14,40,-59,2663
10250,-362,-75,-2,-62,-12,-9,-60,-49,11925
3940,131,99,-3,-28,17,26,-24,18,4070
40675,28148,7889,-300,86,102,2790,387,6563,33550
1900,81,-12,2,7,22,-44,5,71,2475
12675,771,902,0,76,30,167,76,209,14125
1383,-144,-181,-2,77,-15,102,80,-45,1363
55400,-283,90,-1,-5,-39,-50,-4,-18,58650
3445,110,-3,8,-32,-3,-81,-42,19,4923
11675,187,-113,1,-5,35,6,-5,15,12850
6160,-787,-324,100,-28,-64,-231,-128,-77,7495
2911,-47,-36,30,49,-7,-11,19,-13,2433
3056,176,-106,4,-2,-38,13,-6,30,3013
129500,-1564,2345,26,-252,-150,-47,-277,-187,124000
5118,12,46,4,31,-1,13,27,10,4975
2388,0,8,-5,-46,0,17,-41,0,2360
2488,-1,-209,5,6,-50,-18,1,-1,1800
6406,42,31,0,2,3,3,2,3,4828
776,65,-11,3,157,12,-118,152,42,1024
997,0,-3,0,19,-7,-115,19,-1,1028
2788,98,-21,1,-10,2,43,-11,10,2638
32300,-1316,-49,21,-310,-92,53,-331,-81,28575
1930,25,90,-6,-50,-32,-88,-43,2,1011
5765,150,265,-28,51,-2,112,79,33,6260
154500,1077,10285,-163,954,133,687,1117,109,154000
6920,35,223,9,-69,14,130,-77,5,6690
3497,-2,4,-1,-10,-4,5,-9,-1,6725
2350,68,57,1,15,29,490,15,31,2330
4018,20,-264,26,21,20,63,-4,23,3953
3315,122,-25,-19,-19,7,-35,0,26,3630
6635,60,-30,-3,-19,23,33,-16,22,7075
1069,111,44,0,-77,0,-31,-77,24,1091
10445,-65,-173,7,26,-9,48,18,-13,7770
17350,46,125,-13,-81,10,83,-69,8,17900
3308,-2,-17,0,-53,1,7,-53,-1,4338
3145,93,134,-2,-136,-2,-42,-134,10,3250
1830,-99,-28,2,-63,-29,-95,-65,-25,1948
4443,-264,31,36,58,-9,274,21,-168,1873
6420,-36,-152,-2,-16,38,3,-15,-11,6015
8130,58,200,10,-4,18,6,-14,11,11500
9525,72,-440,-6,-261,-15,-351,-255,14,12700
61950,2750,5438,0,-47,26,206,-45,291,63550
4725,-56,-112,1,7,0,-24,7,-4,5375
63100,59,420,-13,-37,-3,-98,-23,4,81300
6580,61,77,220,20,15,18,-200,12,8745
10880,4,41,8,31,7,-4,23,1,11490
4907,52,61,-13,-346,-5,23,-333,27,5920
17400,-31,21,12,4665,-195,176,4653,-21,18825
1457,-37,-4,-4,-30,3,-40,-25,-24,1555
4917,71,549,6,-6,-8,-3,-13,12,8410
4528,-10,399,1,-515,12,-46,-516,8,3635
2820,654,-81,7,-1174,2,-141,-1181,289,3025
1757,-2,-29,5,143,-38,-79,138,-27,2820
7100,-7,-34,-17,71,-33,-62,88,-1,6705
3727,-74,-86,3,-38,11,19,-42,-41,4395
1620,78,37,-3,-32,5,89,-29,32,1693
4652,301,109,-7,-138,1,163,-129,63,5355
788,5,-15,-2,-33,15,79,-32,3,925
2395,2,-92,0,-37,1,0,-37,0,2610
641,86,3,19,-35,3,37,-55,63,647
12925,231,290,-65,-90,15,29,-26,29,13575
13200,72,363,8,21,1,-30,12,7,13825
3973,131,53,-2,56,-7,-4,58,18,3383
13050,-863,-457,0,110,31,-54,110,-45,13975
1397,6,-32,3,97,2,15,95,2,2005
4341,318,225,6,31,-6,53,24,66,3658
3153,-11,-32,7,-195,-5,54,-201,-27,3095
2065,-20,40,-221,-27,13,-8,193,-5,1995
6860,77,108,0,2,-2,0,1,6,6410
85550,-1647,3874,-937,1414,-2574,-1058,2352,-3208,100250
2786,1,11,0,-35,9,-56,-36,0,2403
24100,152,412,-2,-184,49,-49,-182,12,18600
5990,-15,66,-17,-67,-5,-70,-50,-5,9860
503,9,-37,-1,9,-4,-1,11,8,637
3710,-154,-209,0,18,-30,4,19,-34,4220
39650,-6,256,14,-118,32,321,-132,5,40325
966,-2,4,-1,-5,-2,-33,-4,-2,932
13675,198,-364,1,62,5,44,61,23,14000
21400,-33,51,0,-1,-12,-36,-1,-10,23100
21125,-27,357,-3,-9,-4,10,-6,-3,18875
9665,474,229,-5,-147,-11,-198,-142,80,10400
33275,381,757,1,-16,31,101,-16,23,33550
7060,9,-98,0,7,19,18,7,3,8095
4962,663,-36,156,-223,153,-62,-380,147,5605
17025,-274,1422,-45,22,1,-13,68,-36,18775
3233,-208,-31,23,-201,21,-236,-225,-60,3313
6475,-150,-32,0,-81,-33,-44,-80,-36,8470
3153,-20,-40,-10,10,3,-2,21,-1,2778
5105,34,231,1,238,15,-4,237,13,4945
4665,277,221,-5,37,-5,-1,42,52,4300
4520,-584,-229,-7,-57,-63,-69,-50,-61,4683
6100,-55,2818,-567,-346,-21,-459,222,-7,5565
4065,-288,-220,0,-115,-12,69,-115,-29,4283
10825,-29,66,-5,346,-13,-34,350,-9,14750
130650,370,896,-17,-886,489,495,-869,481,207550
9800,-172,-38,-10,-62,-37,-76,-53,-42,11500
2085,18,22,1,0,5,13,-1,6,2363
12175,0,155,39,-220,5,-63,-259,-1,14845
19200,-50,-44,-7,4,-21,-166,11,-17,60200
8620,436,365,5,-229,1,90,-234,99,6750
3813,-57,-155,2,29,-16,-17,27,-15,4073
5388,2,-43,-2,-3,1,6,0,1,2490
22250,-170,222,5,-95,-47,-143,-100,-60,33775
9895,12,228,-1,6,0,35,8,2,11925
23950,183,1001,-18,142,-15,-27,160,79,24575
12650,-627,-269,0,-106,-35,-126,-106,-44,14175
10700,188,630,3,50,6,14,47,21,11950
5995,75,0,-8,-90,9,-11,-83,7,5770
105900,704,1071,-85,37,52,194,123,92,147000
4771,-25,-26,3,-87,-15,-1,-89,-3,3843
90800,647,4300,972,696,175,54,-277,151,103500
6155,14,61,5,-36,26,-4,-41,3,7895
9780,17,-2,30,-36,3,9,-65,2,12500
4523,48,-403,-41,18,18,-22,58,6,4438
1238,-33,-8,-6,-69,-13,-79,-65,-10,1103
8321,-41841,2120,-1,234,159,-181,235,-6218,4798
4350,168,35,1,71,11,13,70,23,4255
8235,-95,-71,22,-19,-23,-14,-41,-30,7185
1510,19,-20,-1,30,-18,445,32,4,1205
113500,1056,3183,19,159,-16,166,140,50,118000
1408,-86,-21,0,16,-22,-146,16,-26,1338
30975,1315,-540,8,23,55,87,15,70,31225
5900,-84,-43,-1,-9,-3,-42,-6,-5,6095
11900,-2019,-633,-19,194,9,45,212,-179,9115
2170,188,59,2,11,20,43,8,22,2105
5881,-495,-370,856,-2574,-829,-1213,-3430,-776,5193
13300,1049,13,1,-53,29,63,-55,63,19125
2802,-2,-41,-3,-35,-4,-35,-33,0,3130
811,-623,-929,1,-11,-11,14,-11,-30,5013
11550,143,247,31,122,33,81,91,35,15575
3738,-83,206,-2,4,-14,25,6,-16,6093
5375,-84,6,-1,-4,-2,-13,-2,-9,5395
7325,77,352,-17,66,3,-19,83,15,7385
3031,-35,26,-3,-397,-20,-155,-394,-14,2933
2360,129,-43,7,-37,15,6,-44,23,2465
3545,-74,-2,10,-127,7,94,-136,-31,3115
5950,-970,-939,-2,-161,-67,100,-159,-164,4745
3208,156,66,-1,-7,6,75,-6,20,2653
8715,109,164,-8,11,1,0,20,25,8260
7340,-52,268,1,-84,-3,-33,-85,-45,9010
13925,-355,-104,2,830,14,65,828,-98,8435
12075,304,487,-1,75,34,51,76,30,12475
16950,-4732,137,0,-29,-2,6,-29,-924,23350
9160,-67,135,-5,7,-13,-25,11,-8,10035
91100,-33,137,0,18,16,24,18,-3,101900
120550,21,1482,1,2,77,-129,2,3,130400
3925,29,-141,-1,27,-9,0,28,3,3315
17850,7,187,-12,256,-25,47,267,1,19675
7930,10,41,12,29,0,33,17,2,13275
1956,128,-200,-145,-115,37,52,30,19,1533
10625,-617,-305,-6,-320,-5,35,-314,-82,12025
66400,-2819,2889,333,-2150,-2537,-625,-2482,-2704,60950
676,286,-83,-16,-6,-12,-20,9,62,733
64200,-320,532,1073,137,-177,-229,-935,-137,73500
2288,-38,-45,3,-15,22,-24,-18,-11,3068
15825,-856,-35,2,-281,-6,-91,-283,-91,16400
22750,100,526,24,-336,9,-6,-360,17,31175
76300,1790,1992,186,2385,256,1154,2199,393,57950
4048,26,122,1,35,2,37,34,4,4118
10950,-1351,-47,-20,218,-7,-342,238,-97,11125
6001,126,116,-63,195,29,170,258,11,4348
5530,-56,32,28,-12,-5,-14,-40,-9,5725
4778,-275,-6,1,241,-8,-90,240,-64,4573
12475,1013,933,15,-107,13,189,-123,80,12250
6035,-164,-143,16,-41,-23,-29,-57,-23,7425
8060,111,182,35,-168,66,-183,-203,39,9640
8830,227,307,27,-84,30,55,-111,16,8835
26150,-106,1050,4,64,-37,-67,60,-21,32525
3075,18,139,2,-77,6,20,-78,4,4130
12375,80,317,60,402,35,-6,343,38,11075
895,133,-33,0,30,-8,40,30,40,686
8320,-227,-138,16,-23,8,-12,-39,-16,8015
7710,-197,-129,-19,-43,-6,0,-26,-23,8875
1333,1347,38,35,23,9,78,-12,219,1037
5366,251,-231,15,-10,16,18,-26,15,4323
20850,60,296,36,5,1,15,-32,7,18925
4658,-8,250,-117,-79,6,3,37,1,4413
70050,325,1132,14,4115,327,392,4101,213,80550
9025,-72,49,-4,-57,-24,84,-53,10,6745
11025,-171,1043,24,-74,-64,622,-97,243,14425
959,206,-112,-9,9,4,-24,18,50,819
4102,-45,-69,-4,539,2,291,543,-31,4410
1403,699,95,76,195,33,1265,118,426,1473
17800,-159,394,-26,-49,-10,-42,-23,-23,16175
9845,-46,403,19,73,22,63,54,-5,12200
2311,-217,-43,2,-17,2,-36,-19,-45,1698
5575,-72,-79,36,-31,-6,-31,-68,-9,5925
19800,91,56,2,30,18,60,28,23,7395
4933,8,119,-7,96,9,10,104,2,4278
14975,52,-66,4,28,21,32,23,25,21525
7075,-579,-330,-13,25,-45,-162,38,-93,6960
12125,305,710,-46,222,104,429,267,71,9855
71500,183,997,36,111,42,86,74,33,90750
19750,234,168,1,-37,88,192,-36,53,21675
36300,-1431,726,31,66,11,3,35,-49,35400
9355,-83,263,116,8,-28,356,-108,-95,10080
10875,-27,88,22,-78,-3,13,-100,-3,10670
9315,-315,365,26,-374,-108,-494,-400,-80,7805
1436,15,-6,-1,0,-18,38,0,12,1308
11350,-12,-3,0,13,-15,28,13,0,11650
4297,25,-88,19,-66,29,60,-85,5,5225
4095,-31,-16,-1,13,1,-16,14,-7,4985
4140,-636,-620,-1,-5,-1,-1,-3,-69,4788
7615,30,71,-4,-10,1,5,-6,5,7565
4562,169,221,1,31,11,17,30,16,4905
1866,198,-30,4,24,-113,70,19,26,1558
147000,-4054,3342,1076,191,-102,2116,-885,-1520,140500
10825,152,241,0,-58,59,127,-59,32,12450
58950,148,1021,16,-6,-4,109,-22,12,61450
34075,672,146,-58,40,51,245,99,135,36475
5645,-163,-77,5,-33,13,29,-38,-12,6115
542100,628,3376,-12,-132,52,70,-119,35,465100
18675,44,-238,4,-61,-33,-231,-65,2,19675
5107,-58,-66,0,-703,-39,-308,-702,-36,5560
2140,-73,-63,24,-56,1,-22,-80,-9,2110
18425,363,112,38,-300,242,2064,-339,63,14300
5660,-358,-20,0,-234,-50,-230,-235,-44,5385
4002,-83,101,9,139,-91,-26,129,-23,4660
6495,-798,-883,-5,7,-107,7,12,-92,5875
16450,1300,384,-145,148,46,39,293,237,18275
6335,-28,314,25,87,-16,64,63,-8,6960
36850,-68,541,-606,-195,-110,-122,410,-17,35225
52150,155,226,0,-191,19,16,-191,18,70650
9765,363,-57,-6,-43,-4,-27,-37,36,10395
16550,-171,-115,-13,12,12,23,25,-23,13525
1838,110,58,-1,-92,4,8,-90,42,1460
2823,-174,-205,5,-77,11,21,-83,-17,2610
8710,1052,1169,16,237,52,398,222,215,9005
18525,-39,310,-6,62,25,-22,68,-5,18775
1286,-332,-542,1,-82,-20,-46,-84,-43,3105
1563,12,53,-6,15,22,27,21,4,1550
264500,-2051,1340,-648,-2674,-2152,-3640,-2027,-1461,317500
22125,245,-12,172,-102,153,236,-274,77,26500
21575,72,442,38,-763,-33,875,-802,11,18050
2128,-30,31,0,-36,-3,47,-36,-14,2468
2275,-226,-80,22,15,-38,-4,-8,-29,2330
5475,291,95,-2,-43,36,-9,-40,29,5475
2448,189,71,2,-35,-1,-7,-37,114,3318
13850,-174,-331,29,-164,13,-13,-193,-24,17625
5095,-41,-175,7,62,33,63,55,-3,5440
2978,-56,-130,1,83,-12,-132,82,-6,2945
4575,229,187,-13,60,14,46,74,25,7095
6605,-26,26,-2,-18,-5,-5,-16,-4,5930
9470,-165,-583,34,-246,-71,100,-280,-88,9255
4991,-36,-68,10,-14,-4,17,-25,-5,4748
31375,-76,-112,10,-23,-24,-64,-33,-21,46550
9885,459,122,12,372,13,69,360,105,8300
1553,14,12,-9,82,-4,29,90,12,1323
69700,331,2213,-52,-305,-16,-31,-253,19,68500
7945,-120,-74,1,-4,-13,-32,-5,-12,6810
9340,-71,-78,1,15,-8,-6,14,-10,6955
29175,-41,436,1,31,-8,-1,30,-4,41925
11400,-682,39,3,-42,-61,-172,-44,-60,15850
26075,130,838,71,415,67,159,344,34,31300
6300,156,378,-2,39,7,-1,41,29,6600
350,-40,-16,0,-185,-1,42,-185,-43,398
13025,150,125,-3,-30,10,0,-27,8,14175
11275,-100,38,6,24,5,62,17,-97,10030
4030,9,197,1,214,-11,-45,213,1,4700
11075,201,335,12,227,47,94,215,37,8525
1385,-74,249,-50,-56,-40,52,-6,-31,856
14325,-97,82,-18,-18,2,-28,1,-12,12950
8660,-359,-193,0,-22,-9,-17,-23,-25,8480
6600,40,7,0,-116,13,25,-117,13,5985
5440,165,329,2,111,26,89,109,25,5365
6610,-290,-85,-2,69,-2,-1,70,-31,5925
4130,237,101,77,-10,17,-111,-87,39,6840
4078,-9,-100,10,20,-6,-8,11,-3,2993
28425,162,47,0,-84,29,61,-84,33,22150
25275,103,53,5,-14,45,37,-18,14,19100
5248,462,75,17,-212,48,137,-227,135,5240
7495,-32,76,-63,-421,-18,-137,-359,-18,7705
31425,283,1057,-2,266,150,422,267,57,38050
11600,120,117,20,47,33,89,27,27,12225
7055,-9,173,0,74,-9,-16,73,-3,7055
8235,-46,-227,35,-219,-47,-700,-255,-5,7720
15400,3660,-237,22,56,104,87,34,266,16600
29075,-181,-50,-24,31,8,8,55,-47,32400
6605,11,-62,-1,-32,10,-8,-31,1,6430
2341,54,114,16,-13,28,119,-30,36,2158
8520,93,-338,24,-242,-60,-106,-265,39,8120
192000,-6068,3506,2038,6542,-5831,-8260,4503,-5678,202750
4098,119,-323,44,-988,-86,-70,-1033,123,3443
18475,-74,-768,10,-21,114,330,-31,-7,19775
1328,-61,-19,-13,-244,-32,8,-232,-67,1188
350250,-4199,4652,96,409,-281,424,313,-479,383000
5121,162,5,1,-6,20,28,-8,14,4573
63850,-856,-382,1,-78,-6,-29,-79,-115,84050
3363,180,163,2,14,17,46,12,15,3003
22500,205,321,145,27,3,13,-118,27,24225
1638,39,-67,13,-11,15,-12,-23,14,1638
37150,105,83,-2,143,3,22,144,6,44600
3848,167,48,-1,160,-8,-23,161,40,3968
1143,-25,12,0,-296,3,-352,-297,-15,1028
42175,405,720,-10,-21,-1,-4,-11,41,38800
5340,-8,77,-9,220,-47,-57,229,8,5545
11625,130,192,0,-211,4,-55,-211,17,11750
3150,3,84,17,108,27,26,92,5,3030
3518,31,-28,0,-19,14,22,-18,14,3728
2737,-55,20,31,49,-24,-34,18,-15,3270
2832,70,29,4,162,53,81,158,123,3080
5472,24,143,10,49,10,28,39,4,6355
7385,-470,-324,-42,-160,-92,-102,-118,-114,6635
3868,-73,0,32,131,-22,-133,99,-17,3190
2694,-2,-3,-1,-39,-9,-41,-39,-1,733
15875,159,259,67,44,56,272,-22,46,16000
7240,178,-94,0,-6,-6,14,-7,14,9890
4781,646,642,-1,27,-14,8,28,60,4463
7660,12,25,-6,-54,11,20,-48,3,7740
5765,221,23,3,-27,29,63,-31,25,5160
5945,-80,71,-6,13,-71,-77,18,-27,5740
1280,9,35,5,-18,-6,19,-23,11,1265
24200,156,210,-7,-106,-63,50,-99,43,25250
53050,-148,2100,-63,2364,-219,-82,2428,-43,44800
4960,230,134,42,-480,112,348,-522,85,4590
1857,8,27,48,-24,-4,-18,-72,2,2055
9700,-6,-108,0,-13,3,6,-13,0,8475
4038,-270,-424,6,-14,-28,-123,-20,-28,3745
12475,-34,163,3,-22,0,2,-25,-4,12225
76850,836,734,149,-16,33,12,-164,51,70150
5711,-79,-394,-7,-7,-7,39,0,-5,5348
24950,-152,152,-11,-714,90,145,-704,-61,28000
6361,-169,-183,-2,-21,-33,12,-18,-30,4988
599,51,-2,-15,36,23,32,51,35,576
2637,29,17,1,148,8,54,147,6,2670
1835,1305,-222,3,28,65,-2,25,260,2043
52400,195,44099,9,26,46,11,15,-26,57500
27025,337,549,-4,-201,223,1238,-197,124,26900
45700,-651,-550,2,-116,-123,12,-117,-106,50950
12200,-31,299,-3,10,2,-101,14,-3,12475
93600,1967,4058,30,-1809,116,777,-1839,197,94150
9015,-175,4,3,91,-81,-189,88,-63,9760
3502,159,-18,-167,20,33,11,187,52,4330
2375,1476,20,-7,30,12,87,36,73,3923
8425,-89,1999,-52,-212,-25,-197,-159,-26,6365
11490,-286,-48,-14,7,-12,8,19,-29,10615
3372,198,-44,0,-9,22,-1,-9,20,3690
7990,135,95,-4,7,7,25,11,10,7410
3518,662,2031,97,14,11,51,-83,129,3305
32775,443,1953,76,626,284,1242,549,199,33075
5550,90,48,0,-22,14,-11,-21,17,5495
