price_9,epst1,bpst1,capaxt1,cfot1,ebitt1,salest1,fcft1,nit1,binary
110000,3265,217363,7,18,25,962,12,22,0
2210,-23,2690,16,2,29,1193,-14,-9,0
19550,202,20783,34,86,94,1081,52,46,1
1783,-188,2816,6,-38,34,1312,-44,-69,0
6055,186,12600,91,104,117,1815,13,90,0
187250,2533,328704,2037,710,776,9166,-1327,338,1
6170,198,5942,109,-20,64,966,-128,83,0
2208,17,3482,0,31,21,235,31,6,0
14175,309,32756,33,32,53,1663,0,72,0
340250,4885,306178,121,333,325,5554,212,298,1
18875,348,14936,96,-53,130,1750,-148,83,1
36375,925,60813,89,127,149,2713,39,130,0
4251,157,5698,39,202,52,1816,162,59,0
12400,728,23487,12,-167,149,1953,-179,111,0
40450,407,27422,0,35,19,134,35,12,0
17675,-682,13264,210,-18,-4,502,-227,-81,0
103150,10792,357012,248,1723,616,11748,1475,462,1
37600,813,57082,10,89,69,472,79,54,1
17275,147,9485,45,-135,61,2075,-180,36,0
6810,71,4192,5,-13,9,192,-18,7,1
150250,4495,106322,1487,1562,2323,28712,75,1611,0
3833,37,4231,16,0,16,289,-16,6,0
8190,152,17193,152,17,102,1401,-136,42,0
3370,170,931,25,343,150,1433,318,139,1
65200,2707,147941,4,49,65,923,45,66,1
10725,204,17287,10,-17,26,463,-27,26,0
745,-3,777,1,-9,0,59,-10,-1,0
16725,1749,27393,2,844,204,4463,842,178,1
14800,-644,27764,0,78,4,790,78,-103,1
6060,81,12817,84,62,22,1450,-21,20,0
15275,186,54316,10,-287,55,1361,-297,13,1
48450,1967,62640,149,-1,-11,657,-150,87,0
1520,12,1151,8,90,2,233,82,4,1
4083,124,6928,31,-30,171,2060,-61,88,0
59150,412,58514,42,-175,37,1748,-217,41,1
16075,148,18588,10,-35,38,548,-45,11,1
36400,110,16811,306,474,185,3160,168,95,1
19200,212,3990,96,85,160,1952,-11,103,1
1449500,6125,1709756,809,235,267,5465,-574,83,0
3713,-18,4305,6,-71,23,411,-77,-2,0
3133,120,3932,6,58,38,375,53,23,0
15525,106,5683,0,-155,48,852,-155,25,1
48125,576,92253,25,7,36,1121,-17,18,1
15975,367,17507,39,333,289,6137,294,390,0
326750,9760,529695,5433,8303,13650,150772,2870,9769,1
137250,1182,32103,160,92,136,5052,-68,102,1
4668,33,5268,14,43,9,257,29,3,1
13750,88,23066,3,24,21,535,21,18,0
7520,642,11051,92,221,15,2390,129,129,1
17750,11879,19299,63,-12,123,2571,-75,1654,0
6850,128,9261,11,31,31,506,20,21,1
161750,1339,331894,0,-62,7,456,-63,12,0
56650,2984,98870,54,-69,236,758,-123,235,0
18400,875,26620,265,564,219,3814,300,299,1
2018,-87,1637,8,22,21,759,14,-31,0
35550,952,23847,1289,556,320,3101,-733,295,0
2491500,929,26375,89017,105973,98984,505475,16956,76844,1
16750,159,19216,24,-171,62,4051,-195,26,0
12700,161,12915,15,-56,11,1278,-71,34,0
67900,1280,31848,134,278,234,4050,144,144,0
277250,8526,233061,220,826,349,5546,606,287,1
9320,148,4183,232,121,147,2694,-111,98,1
81200,2981,89548,509,2059,1274,26395,1550,1108,0
192750,393,86223,68,417,137,2754,349,70,1
1211,17,1147,11,-166,22,1324,-178,15,0
27900,-959,46206,28,-1210,590,27009,-1238,-674,0
206750,1149,157802,3410,512,-673,13048,-2899,817,0
1405,3,402,1,-3,1,117,-4,3,1
5280,-113,7432,9,27,12,445,18,-17,1
1925,-2,3923,22,-14,-3,547,-36,-2,0
260750,11803,216504,394,941,1078,4346,547,769,0
12300,504,25015,9,-22,27,233,-32,41,0
66900,1779,48941,863,287,667,8207,-576,434,1
4680,139,8201,3,6,5,122,4,16,1
2900,-29,2025,18,31,-11,123,12,-13,0
5557,-41,1683,8,-21,-5,245,-28,-4,1
2920,-37,6350,31,1,-23,621,-30,-12,1
35900,297,25015,809,950,261,18458,141,235,1
620,-10,633,0,-2,-8,15,-2,-8,0
69900,1816,69516,22,-134,121,1750,-156,117,0
3245,30,3841,37,-100,63,971,-137,27,1
740500,9419,305360,20,604,300,5318,584,328,1
3548,-21,4556,23,18,-11,304,-5,-2,0
35525,1142,61708,52,94,58,674,42,48,0
34500,84,10697,16,27,59,599,11,34,1
6950,814,11586,4,-244,137,670,-248,111,1
3077,3,4618,54,104,2,260,51,0,1
4993,-35,4754,39,10,3,1438,-29,-18,0
52650,960,74156,36,47,60,2435,11,57,1
39000,776,15144,31,223,147,1125,192,120,1
2642,21,982,0,64,4,465,64,21,1
13650,392,25268,0,-22,23,318,-23,14,0
17850,-13,12539,81,-44,45,1485,-125,11,0
15275,-135,2733,7,-47,-44,62,-54,-22,0
7655,266,24385,576,-93,355,7999,-670,144,0
3585,143,2769,17,-133,8,1843,-150,63,1
1638,38,871,12,222,30,912,211,24,0
8160,310,16392,33,73,34,639,40,31,1
4005,65,6264,43,14,-5,178,-28,8,1
34375,487,22093,99,79,100,900,-20,61,0
26775,-649,46426,2,-4,-4,143,-6,-8,0
1855,67,2764,10,181,42,891,171,39,0
2575,-24,907,6,127,4,363,120,-19,0
56700,68,17156,91,665,100,10211,574,27,1
731,-186,1826,13,15,-8,48,1,-13,0
90650,105,10420,0,-309,38,1578,-309,65,1
1320,-15,926,1,-3,-2,422,-4,-13,0
2718,10,5874,25,16,24,950,-9,2,0
20500,-493,41800,0,-11,-2,55,-11,-8,1
104650,28,55156,4337,-21,255,15705,-4358,44,0
4590,51,9064,4,40,49,581,36,15,0
2328,86,2733,9,27,16,966,17,14,0
2513,207,9390,20,332,93,2382,312,121,1
158500,1306,27098,73,117,390,5131,44,307,1
1813,-40,3151,32,60,11,1531,28,-28,1
8345,120,9287,48,46,97,2643,-1,64,1
2750,65,949,2,137,90,755,135,41,1
2022,17,756,1,21,10,147,20,8,1
8825,467,12289,133,-1215,377,5795,-1348,339,1
12275,-8,2039,3,22,-9,191,20,-4,1
5720,121,7087,20,-55,29,931,-75,45,0
33675,461,18833,39,15,119,1388,-24,61,1
10535,423,3411,1,21,25,516,20,33,1
2558,-125,1845,0,7,22,619,7,-52,0
141750,4668,126808,1810,3072,1635,48078,1261,4623,0
4325,158,8569,11,53,44,1452,41,98,1
16500,-1275,8236,39,25,-28,1014,-14,-39,0
10025,76,17337,4,66,25,555,62,25,0
1321,9,645,0,-35,6,150,-35,4,0
44175,1484,70885,2,53,32,368,52,37,0
10400,101,3458,8,-9,24,323,-17,18,0
35150,1936,33253,1069,3661,1966,21913,2592,3242,0
51300,1255,71271,243,-1106,444,5152,-1349,356,1
105100,1426,133200,275,4930,694,11384,4655,356,1
11125,-10,7506,93,49,0,2731,-44,-10,0
56350,640,35940,117,730,359,5594,613,193,1
502750,8851,311065,1121,2158,2363,15738,1037,1692,0
10555,131,14850,458,584,274,24370,126,587,0
3995,61,1306,6,33,32,325,27,30,1
7370,70,4035,3,15,13,171,12,9,0
1503,-37,705,1,108,-7,930,107,-15,0
4942,-89,5980,0,-103,-8,278,-103,-10,1
2265,-84,2108,10,8,8,163,-1,-13,1
96750,1615,113534,48,-6670,512,9856,-6718,359,0
4786,-115,10890,340,188,20,2995,-152,-40,0
3470,43,9860,85,-77,-33,1405,-162,-5,0
32850,1202,29398,102,687,769,4285,584,372,1
3561,5,1480,5,-7,1,342,-11,2,0
122000,3378,52583,3465,-1936,3335,52002,-5400,3939,0
7035,-285,1835,2,-3,-43,67,-4,-50,0
19300,92,8926,6,111,55,419,105,19,1
163500,1545,75446,2089,1985,668,16447,-103,366,0
1258,-5,1348,2,18,17,377,17,-2,1
1735,25,1055,9,51,17,1104,42,14,1
393750,18679,285857,4726,7541,8148,39960,2815,6414,0
8695,-3611,3661,460,-918,-1312,13025,-1379,-7346,0
65250,74,120217,644,-2689,431,18718,-3334,20,0
2245,-172,1372,6,1,-2,103,-5,-8,1
2435,15,4422,20,128,2,1299,108,5,1
693,-47,1222,40,-10,-15,514,-50,-27,0
3982,23,4610,22,29,15,618,7,4,1
37300,844,45369,15,-34,15,273,-49,13,0
3005,-26,1584,0,-46,-6,85,-46,-7,0
12625,599,12065,3,-222,76,1671,-225,63,0
4766,-18,1275,6,-43,1,238,-49,-8,0
3893,42,2403,1,-17,21,116,-17,13,1
21625,502,31979,1,237,85,10500,236,67,0
76400,2062,60570,269,-1770,657,14082,-2038,704,1
39600,588,38398,238,-549,378,5870,-787,254,1
1980,-107,883,108,-794,-43,2446,-902,-186,0
796,4,964,2,47,15,406,45,7,0
1295,-5,3373,16,17,8,451,1,-5,0
4821,56,5160,61,143,30,849,83,21,0
53350,2634,80189,126,761,-8,261,635,89,0
227250,7819,300473,1923,6080,6687,92677,4157,7619,1
1336,-15,368,7,5,0,118,-2,-7,0
3608,-374,3417,2,-38,-22,162,-40,-30,0
4302,1,4810,39,-155,12,762,-194,4,1
9785,367,22119,2,-48,24,520,-50,16,1
35500,1316,36170,111,-781,1410,11331,-892,1028,1
6730,170,10675,1,-350,106,1169,-351,45,0
88150,1056,32470,311,800,582,4696,488,401,1
1074,48,1967,7,-67,107,2341,-74,53,0
2620,302,6393,160,34,29,2067,-126,87,0
1665,13,1345,2,30,5,112,28,3,1
21350,324,22324,29,83,99,470,54,43,1
5825,62,6538,197,8,77,1248,-189,13,1
942,22,1800,2,-129,32,917,-130,12,1
2320,57,5282,242,32,168,3849,-210,38,1
7525,293,12902,114,-3,101,2034,-117,124,0
17850,406,32969,13,-1092,156,4561,-1105,44,0
4955,36,2883,5,-21,14,210,-25,6,0
7860,237,11546,65,93,67,1232,28,47,1
5717,9,5220,14,-55,-4,354,-69,2,1
9485,-154,3594,3,42,11,338,39,-18,1
46250,164,4831,12,23,26,1242,11,20,1
2043,10,2342,10,41,7,589,31,2,0
4168,-16,2042,1,102,15,335,102,-8,0
31350,1394,58362,58,-107,139,1493,-164,81,0
4932,58,5716,9,-13,21,402,-22,13,1
3230,83,3847,-18,-93,70,1060,-75,56,0
3298,39,3930,7,66,36,580,59,14,1
2790,39,3964,13,24,12,515,11,21,1
9430,-136,16504,1,7,-11,350,7,-39,1
76700,1374,25701,26,160,235,1337,134,163,0
4230,178,7450,397,-398,277,4206,-796,83,0
53100,787,13475,110,-193,238,2950,-303,228,0
48975,1310,69639,33,-40,174,1851,-74,126,0
2691,-25,1690,4,1,1,118,-3,-4,0
1353,-15,264,1,-94,-1,311,-95,-6,0
4387,101,4503,30,21,21,235,-9,15,1
1253,12,1126,9,-95,9,513,-103,7,0
954,-49,982,4,-21,-15,23,-25,-27,0
58950,999,76948,5,-6,46,604,-12,21,0
1029,-53,1127,14,-38,-12,241,-52,-31,1
37575,3185,124253,60,728,183,4490,668,205,1
8930,-359,1733,0,-4,-12,202,-4,-13,0
7865,146,5670,4,66,30,324,62,26,0
6055,396,15984,1106,898,393,10907,-208,267,1
40650,1350,110782,35691,33861,14632,151466,-1830,9000,0
6115,-47,6050,30,302,-14,2052,272,-34,0
5185,61,5906,50,-46,51,1459,-96,18,1
12275,-142,5216,67,88,-7,426,21,-18,1
84300,603,11579,38,335,202,1332,297,151,1
134000,5133,86116,-626,-95,266,3608,531,266,0
8770,1505,10256,21,-173,239,6662,-194,212,0
27950,547,65653,8,80,32,842,73,18,1
1690,-16,1426,0,15,5,287,15,-6,1
8650,1184,24946,123,443,274,3392,319,282,0
2273,41,4967,4,-5,29,672,-9,27,0
1440,44,1774,2,-54,22,328,-56,8,1
2515,-36,2025,1,75,9,251,74,-16,1
6065,29,3695,18,38,10,321,20,5,0
8515,-182,6897,75,54,-2,542,-21,-34,1
93850,4377,231635,58,728,174,5531,670,220,1
1540,20,1764,3,49,10,249,46,11,0
249750,7296,223875,6578,9304,4105,42344,2726,5835,1
879,-26,481,8,-3,-23,150,-10,-19,0
48750,1107,31507,50,303,299,4554,253,259,1
119750,293,66770,236,-100,44,5292,-336,-14,1
8045,128,11604,39,77,22,468,38,28,0
2810,-67,3803,31,30,14,438,-1,-39,1
57350,2768,192455,121,-208,231,12249,-329,192,1
5810,169,7727,51,-74,43,599,-126,74,0
4150,-255,318,64,76,-38,287,12,-185,1
33400,592,11122,25,-28,47,237,-53,45,1
167750,1160,65958,371,300,1470,21495,-71,907,1
4063,54,1984,6,1,31,175,-5,27,1
102350,3092,158078,161,-592,326,17064,-754,334,0
11900,134,3529,781,1749,1272,14490,967,742,1
12500,238,52416,91,27,10,176,-64,9,0
6405,23,4318,4,5,32,466,2,13,1
1836,14,1918,24,-10,23,807,-34,4,0
12725,160,9271,99,290,117,869,191,47,1
22025,867,34974,36,10,108,1860,-26,75,0
4430,658,9423,58,-18,80,974,-75,89,1
3756,158,6465,22,-108,24,573,-129,18,0
5310,73,4173,2,15,8,76,13,7,1
31475,1009,40893,129,136,275,2445,6,248,1
39425,266,7380,36,43,140,995,7,108,0
4302,490,4942,1305,1554,263,14571,249,961,1
1233,69,1935,2,-18,47,635,-20,34,0
95850,989,13529,801,1354,1209,6102,553,754,1
9430,29,14493,9,453,50,3386,444,6,0
3758,18,3566,25,-22,15,347,-47,2,0
6855,118,2483,59,-50,165,2301,-110,179,1
3028,55,1116,6,32,26,171,27,29,0
6815,263,8790,4,18,24,115,14,19,0
5656,174,9387,70,330,274,3131,260,126,0
232000,2844,552308,2823,1277,2074,70594,-1546,1115,0
18650,723,21969,29,3477,841,3313,3448,643,1
6935,128,18183,161,64,-9,826,-96,25,1
6275,164,13398,64,292,48,1531,228,24,0
4841,267,10602,34,22,22,550,-13,26,0
49400,532,58828,18,151,91,1434,134,49,1
8495,170,8466,9,26,30,255,17,25,1
4076,-70,1087,1,-1,19,658,-2,-61,0
4323,-12,7733,8,-2,1,304,-10,-2,0
12750,484,15705,4,70,60,340,65,61,0
3645,108,4132,93,316,302,2431,223,194,0
34725,473,15504,44,184,136,912,140,122,1
3763,136,4858,22,80,16,239,58,24,0
4033,-19,6877,63,215,40,1161,152,35,0
2475,77,2281,5,-54,38,1089,-60,21,1
566,-14,575,1,-4,-23,105,-5,-6,1
4780,168,9209,12,-53,40,915,-64,25,1
2388,28,1753,5,-29,30,287,-35,11,1
1751,-96,1534,80,168,-26,2273,87,-30,0
3978,89,11843,185,-60,83,1601,-245,19,0
9100,-347,8435,-25,66,-49,148,91,-49,0
74900,1237,86270,102,225,84,1712,122,63,0
3475,48,1237,5,2,63,459,-3,31,1
1605,7,496,20,57,30,905,37,7,1
4855,1,9411,29,54,21,455,26,-3,1
73550,1472,60132,203,-65,222,1929,-268,153,0
2873,-14,3478,15,-44,15,475,-59,-3,0
241,-3,115,1,-22,-5,60,-23,-18,0
1440,-22,1837,54,14,28,575,-40,-18,1
9660,38,3789,6,-75,24,838,-81,15,1
9155,168,8422,8,-206,96,2894,-214,83,1
6725,14,4081,1,11,2,199,10,1,0
2336,-45,3313,10,29,1,212,19,-7,0
34850,733,40061,59,118,170,1675,60,142,0
26000,83,3939,280,-179,107,421,-459,69,1
5735,-29,5198,10,3,3,409,-7,-5,0
1985,16,848,-16,37,9,563,52,9,0
612,-1000,49,16,-105,-45,87,-121,-333,0
4038,53,3537,11,-32,28,365,-43,24,0
26075,395,11555,3,749,119,1366,746,403,1
1463,22,618,14,-34,-2,198,-48,13,0
4535,7,2504,6,-2,4,308,-8,3,1
2078,-315,1990,27,15,-33,323,-12,-86,0
1300,-17,1573,60,628,2,2365,568,-58,1
674,-11,798,2,160,3,558,158,-9,0
2556,-251,963,0,-13,-8,30,-13,-46,0
10675,-225,5161,35,-4382,124,16189,-4416,-469,1
12350,424,13007,48,-208,49,863,-255,49,0
131000,1108,117184,1242,5862,1370,67023,4620,1855,0
16650,-225,2487,9,-36,-105,62,-45,-144,1
5986,60,4439,263,472,409,5229,209,319,0
63800,405,83866,7,46,68,1336,39,41,0
4487,108,2222,24,56,42,159,32,54,1
18550,146,7166,59,-184,233,6746,-243,164,1
7940,48,2559,39,185,62,851,145,29,1
29925,769,46795,7292,5421,4170,56117,-1871,2243,1
4850,-127,2221,0,6,0,24,6,-19,0
17850,41,7264,0,98,55,255,98,7,0
8060,299,7976,64,184,205,1211,120,228,0
9265,697,8761,1,-19,23,402,-20,28,1
1813,-18,772,0,-10,-8,202,-10,-9,0
2900,68,4708,5,59,13,434,54,10,1
2070,225,1715,0,112,52,2473,112,225,0
37850,53,3398,14,85,9,78,71,6,1
61200,904,67044,99,18,44,2721,-82,65,1
130750,917,77054,146,-158,48,2848,-304,36,1
4117,-31,5151,15,-49,12,474,-64,-8,1
1723,-51,1500,0,-93,-9,201,-94,-18,0
4186,-425,1328,3,16,-29,-53,13,-70,0
24725,108,9783,11,296,50,447,285,22,1
11000,-134,11332,113,-2585,632,3866,-2698,392,0
7885,7,3630,30,45,4,128,15,3,1
14025,222,3225,8,-113,57,683,-121,36,1
4691,91,5763,2,-1,8,255,-4,13,0
10750,563,14497,46,89,93,562,44,85,0
3873,30,1167,0,2,17,175,2,12,0
13675,304,11006,2888,4427,2028,28820,1538,1325,1
13850,1,10132,6,-60,14,282,-65,0,0
7360,-217,960,1,-4,12,108,-4,-26,1
1267,-37,516,1,-14,-9,-22,-16,-21,1
560,116,403,2,64,55,166,62,89,1
5477,28,2426,0,26,-6,78,26,5,1
596,-70,390,0,22,-9,223,22,-42,0
6370,682,8838,28,11,18,254,-17,95,0
12325,139,14442,0,-13,13,90,-14,6,1
1465,-39,1015,4,3,9,47,0,-9,1
1128,-25,1406,1,14,0,204,14,-8,0
1741,-51,645,-6,53,37,13,59,-37,0
2025,43,1766,0,20,17,99,19,16,1
12350,760,12218,17,-1802,349,1718,-1820,518,0
1425,15,1903,88,-12,21,681,-101,13,0
2880,51,2734,8,17,22,264,8,13,1
5130,-20,7280,0,-1,10,131,-1,2,0
4750,-236,1873,4,-40,-11,517,-44,-40,1
20250,-66,15677,380,137,-7,749,-244,-11,1
5476,58,1433,3,110,124,807,107,57,0
1928,55,2169,2,3,7,133,1,14,0
6080,121,3605,1,-33,21,535,-35,24,1
1963,-37,3206,5,16,-12,295,12,-10,0
4990,-23,4491,26,-88,-27,826,-114,-17,1
7140,-742,19003,114,-58,-75,2740,-172,-149,1
6693,-124,4503,8,-88,-17,841,-96,-21,0
8635,80,9059,6,3,51,410,-3,15,0
9985,58,6108,62,144,9,663,82,2,0
107000,1708,53822,894,-2215,3955,11787,-3108,2352,1
719,23,1078,1,-6,24,148,-8,23,0
18500,1109,18315,37,117,148,705,80,316,1
17025,-125,26907,553,105,2368,34379,-448,375,0
24600,-286,30223,52,-138,-61,1628,-190,-52,1
32125,1770,36863,16096,12420,10269,70622,-3676,6795,0
14150,89,12031,1079,261,-77,1424,-818,13,1
16025,288,14611,186,315,291,3378,128,202,0
273250,8368,234558,11538,7998,17070,230625,-3540,16154,1
4502,-5,1690,4,-5,-3,150,-8,-1,1
10340,-323,8406,6,51,-35,817,45,-54,1
4395,-1180,6796,35,629,230,12125,595,-616,0
5107,72,3508,2,12,12,134,10,6,1
35025,607,15735,182,1076,1624,4230,894,1298,1
