price_9,epst1,bpst1,capaxt1,cfot1,ebitt1,salest1,fcft1,nit1,binary
9480,372,4567,2,-1456,218,838,-1458,174,1
1470,29,1202,1,-3,3,79,-4,10,1
5117,-4,4374,1,239,31,935,238,3,1
10430,-1048,6926,2,-4,-25,36,-6,-120,0
3490,-36,956,14,2,-10,153,-12,-18,1
5726,241,9833,2,-9,3,212,-10,28,0
3125,145,7261,3,120,53,526,117,21,1
76400,546,26199,44,67,148,1084,23,67,1
85650,451,16650,141,-5,103,1713,-147,49,1
7650,-13,1005,0,2,-1,13,1,-4,1
1165,-476,395,-39,-54,-75,33,-15,-186,1
9110,20,5994,1,20,-1,304,20,3,1
3115,13,4601,9,-105,26,261,-114,3,1
3657,139,3913,1,19,29,157,18,32,1
18675,348,4856,41,-58,79,617,-99,48,1
5965,-1210,5793,24,-113,-43,481,-137,-326,1
4541,-1183,6240,8,16,-39,380,9,-95,0
9180,301,8656,79,51,43,357,-28,33,1
31675,146,7344,17,11,65,209,-5,32,1
4600,-38,1017,1,-6,0,52,-6,-9,1
2693,-35,1860,0,-12,-4,199,-12,-14,0
10390,379,4690,11,54,47,226,43,46,0
2290,-173,4173,27,98,-71,250,71,-73,0
2640,-28,713,0,-5,-12,34,-4,-36,1
7540,157,3919,3,37,30,227,34,25,1
3155,167,7698,37,284,191,3409,247,60,0
13325,151,7015,-54,12,47,707,66,25,1
1493,-170,1437,2,-42,-35,29,-44,-37,0
14625,15,4040,4,-64,-23,84,-68,5,0
11325,42,9377,9,153,48,768,144,7,0
7150,54,1710,0,19,13,71,19,11,0
29725,-313,14723,13,15,12,681,2,-80,1
7915,821,18728,7,96,39,944,90,100,0
4057,-399,1598,-8,14,3,-112,23,-109,1
7470,207,7781,28,-18,98,946,-47,46,1
30800,178,6667,18,50,45,197,31,24,1
10560,318,6861,1,27,10,119,26,36,1
13625,357,4984,11,35,26,152,24,31,0
35250,-1,1711,4,-19,3,83,-23,0,1
1788,-19,835,2,-35,-5,68,-37,-10,1
1813,44,1983,11,15,27,351,4,21,0
13875,67,33110,4,-4,2,407,-7,-7,0
3655,-21,3621,0,5,-2,224,5,-3,1
2828,9,399,0,0,3,42,0,3,1
7335,-21,5559,22,-28,-2,269,-50,-5,1
8375,250,9437,159,2678,1484,15616,2519,743,1
659,-16,444,34,-28,-15,48,-62,-19,1
29425,3998,11733,34,24,83,442,-11,606,1
4050,-95,2843,14,-73,-52,90,-87,-42,1
1370,-382,564,4,-12,-63,129,-16,-144,0
1093,-9,1437,8,4,10,231,-3,-3,0
17425,908,8537,2,-104,142,458,-106,62,0
10195,2944,23721,50,231,62,2828,181,618,1
4122,50,2644,-3,27,6,154,30,6,1
5880,-101,10748,5,7,-29,158,2,-19,0
3725,-104,1787,0,-2,-10,46,-2,-22,1
2000,-27,652,1,-18,-7,18,-19,-7,0
3887,141,4914,7,36,13,70,29,13,1
186,2,143,6,-155,6,86,-161,7,0
11075,160,6035,17,-3,44,532,-20,26,1
821,-2,549,1,59,-1,143,59,-2,0
9465,104,9420,54,177,70,381,123,24,0
6030,45,2615,2,-3,3,35,-4,4,1
1833,-53,2427,0,30,-3,99,30,-10,0
26425,-57,29993,261,-44,19,665,-305,-6,1
4933,134,4645,3,-4,21,376,-7,16,1
13000,-402,11969,24,91,-79,1842,67,-72,1
3627,165,4308,6,27,9,81,22,15,1
1861,32,1170,1,28,24,204,27,22,0
2521,30,1170,0,-14,10,351,-14,10,0
10470,183,4297,5,27,16,189,22,12,1
1790,27,2082,4,21,15,201,17,7,1
5340,-165,6026,52,140,-3,992,88,-23,1
3221,97,2750,186,243,46,719,57,35,0
6180,189,3920,33,-4,23,365,-37,23,1
7780,22,7176,1,-41,26,510,-42,5,1
5347,-59,1989,2,4,4,175,2,-9,1
1305,21,978,2,45,10,84,44,9,1
6800,-66,6668,0,-114,38,364,-114,-15,1
23775,116,10341,372,533,234,2562,162,58,1
4003,389,4044,0,11,30,557,10,57,0
2603,-33,1806,4,-9,1,134,-13,-6,1
7125,462,5309,160,4775,2211,26401,4615,1919,0
20375,784,22431,170,-1306,1103,52245,-1477,920,0
3855,-91,819,0,7,-26,79,6,-23,1
5755,-61,4352,101,11,4,1607,-90,-21,0
2778,-45,2274,11,14,1,266,3,-19,0
2507,16,675,1,12,7,59,11,6,1
45025,380,14128,144,-2097,977,7118,-2241,371,1
1270,121,1448,51,115,38,420,64,60,1
68250,2,7486,340,76,79,935,-264,-3,0
5295,-37,563,7,0,-4,59,-8,-11,1
8140,427,8864,11,36,39,589,25,49,1
31450,8,3193,4,-8,-4,32,-12,1,1
2888,-27,775,0,-44,-6,149,-44,-19,0
5615,-257,1238,-12,7,-8,287,20,-33,1
2228,111,2163,3,43,4,164,40,16,0
2200,-37,303,23,22,-6,79,-1,-47,1
8300,-63,4716,12,-18,1,299,-29,-8,1
11050,33,21698,381,-26,82,1885,-407,40,0
5631,-165,1392,8,23,-30,223,14,-58,0
2795,-68,2703,63,-8,2,424,-71,-13,1
7825,-457,2565,7,-3,-104,26,-10,-87,1
9980,323,12650,5,42,19,157,37,29,0
984,-10,734,6,60,31,438,54,1,0
3558,-11,1801,2,-68,-8,212,-70,-3,0
7950,138,7449,40,-120,66,1226,-159,31,0
4698,-355,1894,4,-10,-19,155,-14,-38,0
2121,71,1063,4,135,35,409,130,27,0
2993,79,1201,1,28,19,226,27,11,1
190000,6148,148789,255,-153,301,6327,-408,237,1
10600,-268,7719,7,-117,2,493,-124,-27,0
69950,358,10212,4,-103,8,238,-106,28,1
37475,368,10089,0,44,56,146,44,35,1
2570,-219,1673,43,94,256,955,51,-115,1
882,8,861,18,-35,1,44,-54,7,1
2718,114,3097,11,81,5,326,71,19,0
2435,-1030,2471,7,103,487,368,96,-273,1
2230,-18,527,2,-17,-3,261,-20,-3,1
51450,-1744,9699,64,-306,-333,1245,-369,-322,1
4625,11,5508,21,32,12,250,11,1,1
37975,-4,15745,49,-54,45,5948,-103,6,1
42850,653,17578,70,322,362,2726,252,294,0
975,-100,889,48,-33,-130,27,-81,-99,1
902000,9996,152900,690,2514,2600,16007,1824,1806,1
386750,6794,192972,2858,2236,7969,64867,-622,5481,1
1137,-34,577,0,0,-8,4,0,-8,0
5910,-103,1042,4,-25,-24,15,-29,-26,0
3955,-3,1865,0,-1,69,-1,-1,0,1
3185,2,2233,1,-47,1,143,-47,1,1
15675,202,8600,27,-12,42,281,-39,30,1
604,28,712,23,5,4,46,-18,24,0
10480,175,12325,3,128,-72,271,125,29,1
38400,278,16926,9,44,59,603,35,27,1
15000,-328,10344,0,8,12,136,7,-37,1
5495,28,2243,0,-18,20,186,-18,2,1
1135,23,1128,22,43,5,137,20,10,0
8285,3,4571,7,-7,5,206,-13,1,1
1121,35,1227,-9,25,-2,356,34,5,0
1440,-240,498,2,-28,-9,119,-30,-88,1
7150,31,8021,2,-6,3,70,-8,2,1
15000,377,11314,170,384,250,1622,214,180,0
3703,160,6207,2,42,15,440,40,30,1
2067,66,3120,54,86,-1,353,33,13,1
5860,-45,4289,6,105,-11,1086,99,-8,0
5790,288,5373,1,26,54,201,26,33,0
5502,35,2234,0,27,11,89,28,10,1
6340,55,6451,2,48,28,586,46,18,1
14300,78,11932,114,-141,26,824,-254,9,0
17300,702,13505,13,103,60,271,90,61,1
10450,280,18284,8,127,43,369,119,24,1
10725,282,9374,4,50,28,447,45,31,0
6030,-269,12652,51,80,56,2287,28,-37,0
47875,198,19390,8,14,18,329,6,20,1
8200,-5,2660,2,-25,2,145,-27,-1,0
5047,5,6200,11,5,5,590,-6,1,1
15725,-1187,11735,21,-33,11,265,-53,-170,1
3000,184,4390,90,78,17,670,-12,42,0
4676,96,7699,61,-118,27,1261,-180,20,0
2968,-24,1586,2,-48,-22,71,-50,-5,0
10250,384,6828,3,39,21,280,36,52,1
3940,-66,5575,7,19,-12,124,11,-9,1
40675,853,7768,412,-20,-91,-2530,-432,262,0
1900,-87,654,0,39,-24,258,39,-75,1
12675,29,19510,13,111,52,861,98,-9,1
1383,-41,1796,5,-105,-1,534,-110,-17,0
55400,587,18452,7,9,66,279,2,37,1
3445,-116,1000,6,-2,4,203,-7,-17,1
11675,-295,7804,1,-3,-34,24,-5,-23,1
6160,548,9460,0,24,42,269,24,54,1
2911,5,3302,13,-48,11,427,-61,1,0
3056,-214,2920,0,3,39,144,3,-37,0
129500,3886,126013,12,484,423,2610,472,466,0
5118,33,532,8,23,43,263,15,18,0
2388,14,1632,9,15,4,186,6,6,0
2488,-134,1821,1,2,3,55,1,-21,0
6406,-10,1836,1,-1,1,28,-2,-1,0
776,-95,514,-3,-92,-24,221,-88,-63,1
997,13,1343,0,26,22,228,26,18,1
2788,-118,857,-1,7,-4,-23,8,-12,0
32300,1461,34535,11,110,111,2246,99,87,0
1930,-29,1250,8,52,36,297,43,0,0
5765,8,5250,61,-80,37,671,-141,0,1
154500,7535,433107,466,113,697,11414,-353,521,0
6920,205,6851,40,40,28,393,-1,32,0
3497,6,930,2,14,7,89,12,6,1
2350,16,3539,3,38,10,1754,34,6,0
4018,63,2207,78,64,54,399,-15,29,0
3315,-95,2395,27,22,1,186,-5,-20,1
6635,64,4507,28,51,45,384,23,22,1
1069,-138,670,2,26,0,133,24,-32,1
10445,-82,2203,-5,-46,3,86,-41,-17,0
17350,108,4540,17,104,25,757,88,25,1
3308,2,3395,0,-67,3,119,-68,1,1
3145,103,5083,6,16,12,469,10,8,1
1830,80,2574,4,52,28,238,48,20,1
4443,250,2001,20,-3,-1,241,-22,156,0
6420,-114,1226,2,24,-50,115,22,-35,0
8130,-100,5091,4,13,-24,316,9,-18,1
9525,-719,12100,33,62,-104,1173,29,-144,1
61950,1267,84466,54,198,250,2289,143,144,1
4725,45,11323,1,2,6,197,1,5,1
63100,446,36375,15,-32,-27,384,-47,28,1
6580,12,4302,2,39,5,104,37,2,1
10880,117,4156,47,60,30,533,13,30,1
4907,6,3015,13,165,33,367,152,-7,1
17400,52,16412,24,-1159,348,6514,-1183,49,1
1457,23,984,10,43,3,660,32,15,1
4917,-146,1401,1,1,-8,59,1,-25,1
4528,-8,1119,0,17,-22,82,17,-17,0
2820,-696,6841,3,880,19,638,877,-293,1
1757,-23,1723,8,-1,14,366,-9,-10,1
7100,173,9908,21,-38,81,514,-59,28,0
3727,12,902,6,2,-13,101,-3,7,1
1620,-77,605,12,8,3,171,-5,-31,1
4652,-93,5055,47,131,38,984,83,-20,1
788,-20,376,4,-8,-23,-17,-12,-9,1
2395,-97,1277,1,29,-14,50,28,-15,1
641,-76,599,-17,21,0,197,38,-58,1
12925,50,6568,102,64,17,155,-37,6,1
13200,136,20151,33,-32,17,523,-65,13,1
3973,-81,6643,4,-42,6,169,-46,-11,0
13050,930,11266,0,-4,8,141,-4,48,1
1397,-40,1009,1,-55,-6,80,-56,-8,1
4341,-398,3353,1,-45,-7,85,-45,-83,0
3153,0,1950,9,159,20,751,149,20,0
2065,-32,1687,221,11,-23,47,-209,-9,0
6860,8,6372,2,-7,6,56,-9,1,0
85550,4398,68420,6401,7950,9215,146572,1548,8357,1
2786,62,2290,28,74,3,675,46,15,0
24100,484,11902,3,50,13,694,47,36,0
5990,-5,2635,20,17,-1,302,-3,-1,1
503,-11,461,22,14,3,53,-8,-9,1
3710,-54,1386,0,-6,-14,231,-7,-12,1
39650,165,4863,59,-64,43,682,-123,40,1
966,3,767,3,6,9,206,3,2,0
13675,-534,4142,0,-20,-15,150,-20,-63,1
21400,67,3764,32,48,18,331,16,13,1
21125,334,5460,18,56,47,215,38,36,0
9665,-183,7580,16,101,54,1778,85,-27,1
33275,324,12791,1,68,24,435,66,19,1
7060,-46,995,1,-30,-1,186,-31,-18,1
4962,-691,5522,61,77,-125,794,17,-139,1
17025,309,5284,141,-47,17,228,-188,40,1
3233,435,5402,17,214,55,1641,198,125,1
6475,118,1169,0,53,24,281,52,28,1
3153,-45,5265,16,-3,-7,60,-19,-4,0
5105,179,9761,2,-143,94,456,-145,74,0
4665,-57,5280,48,6,31,182,-42,-11,0
4520,411,4148,10,42,41,182,32,42,1
6100,73,2595,620,349,29,2177,-271,13,0
4065,68,4040,0,58,0,56,58,7,1
10825,107,5698,11,-38,34,243,-49,26,1
130650,543,16789,36,1792,894,1966,1756,671,1
9800,128,8454,31,26,41,461,-4,27,1
2085,4,750,1,1,4,24,0,2,1
12175,150,10714,40,-121,100,1591,-161,33,1
19200,4,10168,9,-43,11,388,-52,1,1
8620,-84,5748,2,43,59,540,41,-19,0
3813,61,3371,1,37,16,223,36,16,1
5388,-9,901,5,-5,0,69,-11,-3,0
22250,381,7619,1,203,156,574,202,134,1
9895,75,3523,14,-35,21,229,-49,14,1
23950,735,13016,51,216,423,1878,165,293,1
12650,357,6202,0,50,21,205,50,25,1
10700,150,13834,22,13,28,683,-9,16,1
5995,-135,6134,12,6,-6,217,-5,-11,0
105900,284,47930,239,217,59,2259,-23,19,1
4771,18,1372,1,56,12,236,54,-3,0
90800,3756,162716,528,950,1210,4898,422,1040,1
6155,48,2860,-2,26,2,193,28,12,1
9780,-7,6765,8,78,-1,540,69,-1,1
4523,-19,9012,62,12,7,572,-50,-2,0
1238,23,803,21,14,12,325,-6,7,0
8321,43893,4585,1,-111,43,942,-112,6724,0
4350,-138,3908,0,-43,-10,65,-43,-18,0
8235,118,6701,42,47,64,865,5,45,0
1510,-36,629,2,-22,22,-332,-24,-11,0
113500,1296,178546,11,21,107,1031,10,60,1
1408,65,967,0,-43,15,227,-43,20,0
30975,-1116,61383,25,51,-82,320,26,-74,1
5900,168,8736,3,22,9,167,18,10,1
11900,1297,13813,23,-138,46,377,-160,115,0
2170,-124,2886,2,-11,-13,67,-12,-14,0
5881,109,6976,123,1841,547,7906,1718,170,0
13300,-949,11194,1,30,-12,139,30,-57,1
2802,-36,3270,3,-17,-6,101,-19,-4,1
811,-319,2457,7,-11,-12,31,-18,-15,1
11550,154,5648,25,-31,42,358,-56,44,1
3738,11,875,3,-30,2,66,-33,2,1
5375,116,8548,2,12,6,65,10,11,1
7325,145,10858,37,-7,39,459,-44,28,1
3031,59,4083,3,284,43,867,281,23,0
2360,-64,3913,1,31,-5,220,30,-11,1
3545,80,3412,1,124,5,417,122,27,0
5950,121,4428,141,75,-10,956,-65,22,0
3208,-90,3804,1,7,1,-41,6,-13,0
8715,24,8622,7,3,6,107,-5,5,0
7340,174,6357,2,-58,10,611,-60,80,1
13925,229,4055,17,-5,47,908,-22,63,0
12075,-27,18165,2,-67,-5,62,-69,-3,1
16950,4799,11751,0,11,5,12,11,935,1
9160,202,5827,19,10,32,183,-9,24,1
91100,173,18646,1,-6,-6,97,-7,14,1
120550,2831,50952,2,321,424,1332,319,364,1
3925,-52,4447,2,16,3,187,14,-5,0
17850,164,11184,19,-207,49,959,-225,29,1
7930,15,4459,4,-11,9,208,-15,2,1
1956,-359,1253,103,52,-35,176,-51,-53,0
10625,365,9068,13,39,27,1020,26,47,1
66400,4236,74752,2653,5062,6456,39181,2409,4349,0
676,-373,1169,16,2,-6,69,-14,-88,1
64200,-207,15038,373,142,146,4055,-231,19,1
2288,7,1659,4,20,-14,176,16,2,1
15825,1150,16276,5,125,91,900,120,121,1
22750,417,16820,14,254,109,1949,240,72,1
76300,221,27978,130,-966,60,3585,-1096,49,0
4048,95,3571,4,23,39,260,19,33,1
10950,1041,19675,28,-170,-17,1877,-198,75,1
6001,-46,2633,90,-106,-7,196,-196,-4,0
5530,114,4057,13,55,32,289,42,26,1
4778,271,1906,2,-251,36,503,-253,63,0
12475,-209,24028,17,88,34,929,72,-17,0
6035,86,3102,-6,70,35,107,76,12,1
8060,26,11553,73,242,6,3143,169,9,1
8830,145,7982,-27,-2,9,102,25,17,1
26150,428,5830,1,31,110,740,30,81,1
3075,-45,1616,0,15,-1,179,14,-11,1
12375,199,7130,179,-419,107,739,-598,82,0
895,-162,508,0,-34,1,-13,-34,-49,0
8320,150,5944,6,31,4,399,25,11,0
7710,336,10160,24,59,19,130,36,39,1
1333,-1452,2377,3,-39,-23,-32,-42,-235,0
5366,-457,3967,2,0,-27,64,-1,-28,0
20850,144,7758,11,39,26,280,29,16,0
4658,175,6376,88,94,18,468,7,26,0
70050,153,12629,68,-2452,489,6537,-2520,255,1
9025,131,4084,21,99,65,328,78,1,0
11025,95,1757,-23,2,63,-529,25,-266,1
959,-293,2623,12,4,-22,445,-8,-71,0
4102,82,7861,9,-363,70,2071,-372,57,1
1403,-403,3204,-15,-94,-42,2676,-79,-334,1
17800,452,6212,41,28,61,458,-13,61,0
9845,459,6521,11,-44,39,375,-55,45,1
2311,83,2222,5,5,1,347,0,17,0
5575,159,7639,25,47,16,290,22,17,1
19800,-35,1841,0,3,-7,68,3,-9,0
4933,109,3900,19,94,47,893,74,28,0
14975,-116,3152,1,-14,-38,3,-14,-44,1
7075,473,7193,19,-102,44,562,-121,74,0
12125,297,19391,30,64,102,2839,34,73,0
71500,429,30712,79,22,114,734,-57,82,1
19750,156,9458,1,67,14,171,65,35,1
36300,390,38339,1,6,16,335,5,13,0
9355,272,13312,275,350,334,7985,75,247,1
10875,103,15145,20,115,23,491,94,9,0
9315,327,9431,76,460,112,1896,384,81,0
1436,-26,2254,7,24,-12,291,17,-16,0
11350,-53,5351,2,-29,1,197,-31,-15,1
4297,1,3218,6,81,-11,292,75,0,1
4095,24,4713,4,11,1,175,7,5,1
4140,40,5041,10,13,5,106,3,4,1
7615,21,1728,7,8,6,55,1,2,0
4562,42,4387,2,-5,7,131,-7,3,1
1866,-224,2953,1,0,100,15,0,-34,0
147000,6581,95109,152,1442,1918,39773,1290,2468,0
10825,234,3555,1,110,58,371,110,49,1
58950,921,27538,14,44,112,806,30,82,1
34075,-593,6757,259,-79,28,471,-339,-105,1
5645,185,7148,11,30,3,128,19,14,1
542100,2998,29423,104,146,212,405,42,170,0
18675,165,11444,0,16,57,536,16,18,1
5107,44,2023,1,252,29,393,250,27,1
2140,7,776,2,49,-6,123,47,1,0
18425,-200,12782,29,179,-214,-1316,151,-50,0
5660,340,7808,1,180,46,365,180,42,0
4002,126,4185,26,-219,103,1099,-244,36,1
6495,1,7383,35,-17,11,676,-52,0,0
16450,-635,6056,159,-103,-12,269,-262,-116,1
6335,240,8334,24,-68,103,2211,-92,76,1
36850,648,10490,700,566,272,2402,-134,170,0
52150,462,11207,0,140,56,266,140,42,1
9765,-431,10541,9,41,7,254,32,-43,1
16550,238,7471,51,66,15,350,15,32,0
1838,-63,1549,32,21,-24,829,-12,-24,0
2823,68,4776,2,51,-9,235,49,7,0
8710,62,13309,29,-78,46,1148,-107,13,1
18525,423,5612,7,10,22,587,3,35,1
1286,-516,1341,2,8,-46,150,7,-63,1
1563,34,1434,4,25,3,274,21,14,0
264500,3190,57464,1699,2956,3168,15690,1257,2235,1
22125,-285,3413,26,67,-131,790,41,-89,1
21575,467,3894,30,501,104,737,471,68,0
2128,44,273,1,23,19,193,22,21,1
2275,37,5605,13,37,0,743,25,5,1
5475,-170,2453,2,69,-16,160,66,-17,1
2448,-116,3127,1,-1,9,420,-2,-70,1
13850,174,8996,61,112,18,461,51,26,1
5095,139,6153,35,-3,3,384,-38,12,1
2978,-64,3826,0,-24,4,179,-24,-4,0
4575,-101,3028,40,-2,-3,195,-42,-11,1
6605,145,10373,3,-21,15,188,-24,18,0
9470,91,6458,114,178,42,1702,64,53,0
4991,54,3232,2,-9,4,155,-11,9,0
31375,66,4406,42,55,30,229,13,18,1
9885,-120,7783,204,-204,98,1565,-408,-19,0
1553,11,2205,15,1,23,558,-13,12,0
69700,1419,141212,143,305,124,2458,162,110,0
7945,155,7008,0,19,10,112,19,16,0
9340,-6,4183,1,-30,-6,134,-31,-2,0
29175,449,5555,0,4,43,131,4,34,1
11400,814,7881,7,28,69,285,20,72,1
26075,695,36091,55,219,241,3813,164,200,1
6300,151,6627,7,9,25,215,2,30,1
350,25,496,0,3,-10,133,3,24,1
13025,88,11215,9,37,10,107,28,5,1
11275,136,1765,57,159,105,595,102,129,0
4030,94,2869,0,-32,32,255,-32,15,1
11075,101,8228,2,-87,26,843,-89,19,0
1385,18,432,46,-15,12,549,-61,7,0
14325,270,4713,31,70,31,909,39,34,0
8660,298,4034,0,11,11,45,11,21,0
6600,18,1616,0,-4,11,144,-4,6,0
5440,160,4416,2,-73,26,341,-75,24,0
6610,214,11730,2,-57,6,60,-59,23,0
4130,-121,2095,26,6,-4,308,-20,-20,1
4078,-70,2415,24,21,-4,248,-4,-17,0
28425,-68,4051,3,30,-7,106,27,-12,0
25275,179,10881,7,58,18,219,51,22,0
5248,-368,6456,40,146,-21,700,105,-114,0
7495,110,5966,199,-277,218,3515,-476,69,1
31425,815,8218,34,73,158,638,40,158,1
11600,-83,12648,4,0,2,382,-3,-20,1
7055,165,8469,4,63,72,1555,59,57,1
8235,137,8690,-14,88,50,1065,102,17,0
15400,-3412,9712,14,38,-48,320,24,-229,1
29075,167,5441,31,51,25,202,20,44,1
6605,3,6654,11,27,2,167,16,0,0
2341,40,1274,57,72,44,931,16,26,0
8520,-34,2124,26,143,166,1839,116,-8,0
192000,9039,184590,704,1245,10043,113871,541,8599,1
4098,-703,7252,55,1786,-209,5716,1731,-743,0
18475,-511,7261,116,124,-76,1155,8,-46,1
1328,40,840,23,166,26,346,144,42,0
350250,5658,235671,2033,1334,1925,38665,-699,910,1
5121,-157,4708,1,11,-10,53,11,-14,0
63850,910,11767,5,139,86,461,134,123,1
3363,-26,4131,3,-19,0,212,-21,-2,0
22500,172,10957,19,16,53,360,-3,20,1
1638,-70,1396,-6,2,-12,81,7,-25,1
37150,215,14067,4,-43,6,81,-46,6,1
3848,-129,3881,4,-59,9,384,-63,-31,1
1143,11,1301,3,69,2,598,66,6,0
42175,314,11141,13,59,76,322,46,31,0
5340,83,4734,15,20,88,1051,4,42,1
11625,40,15635,1,207,23,309,206,5,1
3150,55,5459,16,49,40,661,32,53,0
3518,23,1688,7,30,18,131,22,10,1
2737,63,1757,132,6,33,310,-126,15,1
2832,-46,4834,2,-36,-57,949,-38,-89,1
5472,115,2954,1,12,21,194,10,18,1
7385,597,8577,97,177,139,785,80,144,0
3868,47,2308,37,2,23,675,-35,11,0
2694,0,179,1,11,5,102,10,0,0
15875,74,10730,42,192,47,1829,149,22,1
7240,-277,8467,0,-20,-17,71,-20,-26,1
4781,130,15291,4,34,14,268,30,12,0
7660,48,4770,6,48,12,261,42,8,1
5765,-100,11613,-3,13,9,127,16,-8,0
5945,130,6653,105,-36,76,2191,-140,26,0
1280,-15,1261,1,11,-4,297,10,-19,0
24200,163,11430,32,150,140,865,118,0,1
53050,2011,44736,188,-568,817,7073,-757,565,0
4960,-101,8458,11,397,-37,1630,385,-37,0
1857,17,1517,1,23,12,118,22,5,1
9700,-99,4921,0,3,-14,226,3,-17,0
4038,61,5696,0,50,20,328,50,4,0
12475,26,6145,15,8,6,101,-7,3,0
76850,87,34355,55,86,39,441,30,5,0
5711,-57,7448,8,7,-1,179,-1,-3,0
24950,274,11230,85,461,40,3865,377,127,1
6361,17,7723,4,27,-1,250,23,0,0
599,-58,392,30,-28,-24,79,-58,-40,0
2637,7,3014,14,-83,6,464,-97,12,1
1835,-1524,2969,23,-60,-109,144,-83,-309,1
52400,960,8597,54,-59,17,280,-112,68,1
27025,363,5138,42,435,221,1820,393,134,0
45700,990,23406,3,192,177,1571,188,161,1
12200,332,18238,14,41,36,462,26,32,1
93600,1281,92362,472,1364,341,7477,892,128,1
9015,179,5055,11,-147,98,1243,-158,63,1
3502,-224,2156,179,-20,-37,93,-199,-67,1
2375,-1853,2016,7,-41,-38,122,-48,-103,1
8425,-24,2333,115,58,12,968,-57,0,0
11490,256,4340,17,33,21,269,17,22,0
3372,-242,1222,0,1,-27,13,1,-25,1
7990,18,15574,4,5,-1,136,1,1,0
3518,-680,402,0,-19,-18,-29,-19,-138,0
32775,695,26932,204,-1330,395,4406,-1533,326,1
5550,-48,4174,0,-6,-3,115,-7,-9,0
12125,265,9447,0,64,17,142,64,25,0
33100,18,17877,1,-4,24,338,-5,-25,1
3078,107,2708,10,-6,-6,120,-17,30,0
25625,684,17977,63,68,51,666,5,118,0
2198,5,1528,36,59,1,314,23,1,0
2783,142,3453,1,21,8,126,20,22,0
9850,205,20394,48,-113,18,4008,-161,37,0
27775,805,30788,1,24,28,54,22,25,1
17750,152,11429,55,2,107,931,-53,84,1
27925,-79,1777,2,-40,-11,42,-41,-18,1
3411,-27,2907,3,-6,-2,152,-9,-4,0
4505,-335,465,17,-27,-24,58,-45,-83,0
5870,184,11611,5,-38,11,196,-43,9,0
5341,29,4192,0,17,4,116,16,3,0
24325,386,14451,120,75,33,569,-44,48,1
1938,-53,735,0,-34,-13,23,-34,-10,1
34250,430,8303,8,51,61,211,44,47,1
4512,241,5502,3,-137,-11,470,-140,31,1
11700,317,5229,1,5,43,304,4,42,1
73800,925,70295,785,-211,458,11501,-995,222,1
5122,-527,12334,21,44,55,321,23,-238,1
16000,269,7122,8,-9,21,134,-17,29,1
9515,-1425,2961,2,-55,-34,50,-56,-209,1
5800,190,3076,7,42,7,79,34,19,0
3655,115,3624,127,89,63,825,-38,35,0
9670,-333,6075,46,143,70,326,97,-46,1
3690,415,6494,182,448,172,3661,266,138,1
26175,94,15833,59,-169,35,703,-228,-12,1
10325,175,10831,2,1659,119,7884,1657,86,0
14900,679,7266,108,248,112,1081,140,151,0
6281,-229,3571,364,346,32,1679,-18,-47,0
32075,1030,10557,6,233,117,933,227,116,0
2178,-2221,2261,0,4,-152,43,4,-220,0
10430,-146,9025,36,8,-14,203,-28,-10,1
3910,131,4276,79,61,55,950,-18,41,1
19275,343,12739,1,61,43,238,60,35,1
4355,71,3546,0,13,9,73,13,8,0
12325,431,3897,22,34,91,510,12,69,1
5253,-56,9576,27,30,14,438,4,-6,0
3468,-321,4143,3,-19,-31,77,-22,-38,0
2257,283,1932,135,-8,0,44,-143,105,1
3505,-166,1740,4,147,15,1025,143,-20,0
3810,106,5773,34,116,125,719,82,119,1
4812,167,4503,6,38,32,363,33,33,1
13825,75,5539,0,127,8,255,127,10,0
5275,105,3660,55,53,3,119,-3,15,0
4093,-84,4922,53,16,3,390,-37,-10,0
4140,-419,289,1,4,-4,43,3,-26,1
927,-18,1069,5,20,-8,164,16,-6,1
3055,16,2372,1,11,28,52,10,7,1
3143,-236,939,12,61,8,2036,49,-122,1
427500,1662,58570,730,-536,314,2336,-1266,246,1
3073,58,6899,7,50,54,1268,43,11,1
3308,63,3774,-2,6,0,147,8,5,1
5950,56,2190,2,16,7,79,14,9,1
4227,199,1977,3,88,86,752,86,65,1
3413,31,5584,0,20,4,134,20,3,0
77300,856,41121,105,554,234,3942,449,334,1
1390,37,665,0,30,22,96,31,12,1
2233,-17196,6953,1,-1,-7,-15,-2,-280,0
2290,40,1916,1,20,2,99,19,12,1
5190,44,3258,0,22,6,129,22,5,0
16750,-311,11637,65,11,-33,330,-54,-32,0
2187,5,888,-1,0,8,63,1,2,1
8740,180,3248,1,15,20,190,14,26,1
2668,-178,2021,2,7,-30,150,5,-30,0
6115,783,6420,57,-178,165,216,-235,59,0
3061,8,2917,26,45,0,203,18,2,0
13476,219,3704,11,26,13,307,15,53,0
4055,73,3449,70,-144,30,1878,-214,43,0
18000,939,11297,49,239,98,1710,190,171,0
12625,644,5664,42,-8,22,68,-49,35,1
18875,19,1042,19,3,18,154,-15,16,0
5276,204,3573,35,103,21,345,68,39,0
7800,103,7054,0,23,19,131,23,8,0
10950,16,8240,17,29,12,233,12,1,1
15350,510,11466,33,212,255,1168,178,172,1
10595,-26,2077,2,-11,45,57,-13,-5,1
6875,81,4764,26,-71,37,626,-96,31,1
13300,-321,3443,2,-97,-4,397,-98,-43,1
1608,-96,1555,6,-19,2,128,-25,-17,1
