0,ToaCoin
1,Steem Dollars
2,Loki
3,Viacoin
4,LEOcoin
5,Clams
6,Bitcoin Interest
7,GINcoin
8,CloakCoin
9,ZClassic
10,NIX
11,POA Network
12,Counterparty
13,Boolberry
14,GameCredits
15,XTRABYTES
16,Timicoin
17,Electra
18,Nexty
19,Litecoin Cash
20,Linda
21,BitNewChain
22,Asch
23,FLO
24,Pascal Coin
25,Achain
26,Dero
27,MinexCoin
28,PACcoin
29,Bitcore
30,Aeon
31,Haven Protocol
32,ION
33,LBRY Credits
34,DECENT
35,Primecoin
36,CrypticCoin
37,Bitcoin Green
38,Happycoin
39,Feathercoin
40,Myriad
41,Flash
42,HTMLCOIN
43,Shift
44,Bitcoin Atom
45,Callisto Network
46,Bismuth
47,BlackCoin
48,Global Curren...
49,MassGrid
50,ALQO
51,Peerplays
52,BitTube
53,Polis
54,Phore
55,Dimecoin
56,ColossusXT
57,Bulwark
58,MktCoin
59,RevolutionVR
60,Diamond
61,MonetaryUnit
62, Scorum Coins
63,XEL
64,Graft
65,PotCoin
66,Bean Cash
67,Crown
68,Spectrecoin
69,Stealth
70,Ulord
71,Rise
72,HempCoin
73,DeepOnion
74,SafeInsure
75,Divi
76,Experience Po...
77,Yocoin
78,Semux
79,GridCoin
80,Radium
81,NoLimitCoin
82,Zen Protocol
83,VeriCoin
84,Quasarcoin
85,Birake
86,I/O Coin
87,Nimiq
88,Lightpaycoin
89,LUXCoin
90,Global Crypto...
91,Anoncoin
92,Pura
93,MintCoin
94,Vipstar Coin
95,ATC Coin
96,ChatCoin
97,NewYorkCoin
98,Stellite
99,Auroracoin
