0,Flaxscript
1,PosEx
2,Kronecoin
3,Asiadigicoin
4,Zayedcoin
5,BitCoal
6,MiloCoin
7,iBank
8,ICOBID
9,Elysium
10,Rocketcoin
11,Ragnarok
12,BitQuark
13,Pioneer Coin
14,Eurocoin
15,Cabbage
16,PLNcoin
17,Grimcoin
18,Virtacoin
19,EcoCoin
20,MustangCoin
21,PRCoin
22,Prime-XI
23,Iconic
24,Jiyo [OLD]
25,SocialCoin
26,Interzone
27,BenjiRolls
28,SongCoin
29,VectorAI
30,Wild Beast Block
31,LiteCoin Ultra
32,BowsCoin
33,Coinonat
34,Veltor
35,Concoin
36,DACH Coin
37,PlayerCoin
38,Luna Coin
39,AnarchistsPrime
40,Bitvolt
41,Coupecoin
42,PAXEX
43,GeertCoin
44,PonziCoin
45,Project-X
46,Coimatic 2.0
47,Bitspace
48,VapersCoin
49,Dollar Online
50,Save and Gain
51,CrevaCoin
52,Ourcoin
53,Argus
54,Magnum
55,HarmonyCoin
56,YENTEN
57,Infinity Econ...
58,CK USD
59,ABBC Coin
60,Project Pai
61,MIR COIN
62,HYCON
63,BUMO
64,PLATINCOIN
65,Filecoin [Fut...
66,Super Bitcoin
67,Lightning Bit...
68,Ether Zero
69,Bitcoin God
70,FuturoCoin
71,Aidos Kuneen
72,FOIN
73,Hdac
74,SegWit2x
75,BitcoinX
76,OFCOIN
77,United Bitcoin
78,Moving Cloud ...
79,StarCoin
80,ILCoin
81,Ti-Value
82,OceanChain
83,Smart Bitcoin
84,ClubCoin
85,DEEX
86,WXCOINS
87,WIZBL
88, Monero Classic
89,Bitcoin File
90,MSD
91,Infinitecoin
92,DasCoin
93,ShopZcoin
94,EtherInc
95,PayDay Coin
96,TCOIN
97,X12 Coin
98,DarkPayCoin
99,MicroBitcoin
